  RA         Dec         redshift separ     unW1mag   unW1err unW1snr    w1mpro    w1sig  w1snr    unW2mag   unW2err unW2snr    w2mpro    w2sig  w2snr  w3mpro    w3sig   w3snr  w4mpro   w4sig   w4snr
  0.3401135  26.8358814  5.750    0.225     16.2799   0.0257  41.7265    16.373    0.07   16.5     15.5194   0.0499  21.2510    15.266    0.11   10.2   12.594    0.49    2.2    8.756    0.00    1.1  
  0.6641173  25.8430442  5.820    0.154     16.2500   0.0261  41.0239    16.162    0.06   19.0     15.4177   0.0469  22.6804    15.542    0.13    8.5   12.416    0.42    2.6    8.683    0.00    1.2  
  1.4680833  -0.1154999  5.850    1.145     17.4927   0.0791  13.2325    17.299    0.16    6.8     16.7022   0.1534   6.5915    17.043    0.00    0.2   12.445    0.00   -1.1    9.008    0.00   -0.3  
  2.1073900  -6.4345600  5.930    0.086     16.8020   0.0445  23.8931    16.809    0.11   10.1     15.9620   0.0784  13.3491    15.684    0.14    7.7   11.892    0.00    1.5    8.759    0.00    0.2  
  2.2142917  36.2704138  5.170    0.183     16.0176   0.0208  51.7021    16.045    0.05   20.7     15.4339   0.0444  23.9368    15.373    0.09   11.8   12.043    0.00    1.8    8.786    0.00    1.1  
  2.3787018  32.8702618  6.100    -9.99     17.9509   0.1056   9.7915    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
  3.1369990  36.5378055  5.440    0.428     15.8214   0.0174  62.0132    15.764    0.04   25.1     15.2306   0.0363  29.4372    15.134    0.07   14.8   12.001    0.23    4.6    8.688    0.33    3.3  
  4.3111666 -10.0153972  5.010    0.126     15.9757   0.0217  49.5990    15.936    0.06   19.7     15.3142   0.0449  23.6724    15.167    0.09   11.5   12.026    0.33    3.2    8.520    0.00    1.2  
  4.3936135  17.0863045  5.800    -9.99     17.8337   0.1032  10.0252    -9.990   -9.99   -9.9     16.6956   0.1451   6.9949    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
  4.8140800 -24.2991600  5.680    0.248     16.3205   0.0284  37.7921    16.281    0.07   15.8     15.6784   0.0608  17.3672    15.569    0.12    9.4   12.123    0.34    3.2    8.820    0.00    0.5  
  5.1311237 -36.8949476  6.900    0.000     16.8671   0.0406  26.2100    16.844    0.09   11.6     16.4126   0.1020  10.1549    16.354    0.20    5.3   12.679    0.00   -0.1    8.342    0.00    0.8  
  5.8777916  -0.3101111  5.060    1.315     16.8489   0.0460  23.1176    16.807    0.11   10.2     16.1269   0.0925  11.2380    16.155    0.21    5.1   11.877    0.00    1.6    8.491    0.00    0.7  
  6.1240417  39.2219306  6.620    -9.99     17.3638   0.0643  16.3805    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
  6.3618333  -1.7590306  5.070    0.200     14.8509   0.0088 122.7056    14.800    0.03   32.8     14.2325   0.0184  58.5200    14.157    0.05   22.5   11.395    0.22    4.9    8.514    0.00    0.9  
  7.0273329   4.9571232  6.000    0.801     17.1783   0.0596  17.7258    17.268    0.15    7.0     16.6062   0.1348   7.5651    16.410    0.29    3.8   12.253    0.00    0.4    8.317    0.00    1.4  
  7.8577500   7.1769222  5.330    0.527     16.6577   0.0389  27.4370    16.701    0.10   10.8     15.6829   0.0634  16.6299    15.479    0.12    9.1   12.187    0.00   -0.3    8.398    0.00    0.5  
  8.2975000  -1.4235833  6.130    -9.99     18.2051   0.1422   7.1481    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
  8.5597920  37.9983333  5.630    0.849     16.4800   0.0290  36.9322    16.734    0.09   12.5     15.7302   0.0556  19.0467    15.758    0.13    8.4   12.035    0.00    1.8    9.104    0.00   -0.6  
  9.3573290  -8.1190174  5.720    0.713     16.8205   0.0421  25.2833    16.905    0.11    9.8     16.2038   0.0952  10.9154    16.347    0.26    4.2   12.197    0.00    0.9    8.361    0.00    1.2  
  9.6504160 -15.4565555  7.020    0.654     16.7412   0.0413  25.8249    16.804    0.10   10.6     16.3112   0.1045   9.8970    16.076    0.21    5.1   12.307    0.00    0.5    8.704    0.00    0.9  
  9.7355079 -10.4316386  5.950    0.236     16.4915   0.0321  33.3836    16.517    0.08   13.5     15.7224   0.0615  17.1635    15.864    0.16    6.8   12.198    0.00    0.5    8.411    0.00    1.2  
 11.3898667   9.0324889  6.420    1.130     17.7728   0.1043   9.9207    17.493    0.19    5.7    -99.9990  -9.9900 -99.9990    17.160    0.00   -0.3   11.980    0.00    1.2    8.784    0.00   -0.1  
 12.5277710  34.7560148  6.250    0.401     16.5815   0.0326  32.7892    16.655    0.07   15.3     15.7063   0.0549  19.2878    15.791    0.12    9.4   12.928    0.00    0.0    9.299    0.00   -0.2  
 13.5892499  -1.1560000  5.090    -9.99     16.9821   0.0568  18.6232    -9.990   -9.99   -9.9     16.1529   0.1026  10.0912    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 13.7621250   1.7717500  6.010    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 14.2334990  22.6867111  5.490    0.485     16.9356   0.0477  22.2702    16.919    0.10   10.4     15.9954   0.0783  13.3717    16.019    0.16    6.8   12.185    0.00    1.0    9.155    0.00   -0.2  
 15.0542635  28.0405319  6.330    0.129     14.4456   0.0063 171.2720    14.461    0.03   38.9     13.6446   0.0106 102.4227    13.638    0.03   31.6   11.716    0.21    5.1    8.980    0.45    2.4  
 15.7109990  -2.3027499  5.950    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 17.0274999   7.1890555  5.530    0.626     16.3387   0.0309  34.6805    16.231    0.07   15.1     15.4902   0.0543  19.5076    15.330    0.10   10.3   12.019    0.32    3.4    8.569    0.40    2.7  
 17.1248333  -1.0043333  5.110    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 17.4713790 -30.7906420  6.790    -9.99     17.9607   0.1096   9.4161    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 18.4739583   5.9975278  5.000    0.210     16.6853   0.0413  25.8086    16.758    0.09   12.1     16.1318   0.0938  11.0841    16.063    0.17    6.2   12.488    0.50    2.2    8.377    0.00    1.0  
 18.7296250  32.6378694  5.220    0.686     16.8459   0.0409  26.0447    16.803    0.09   12.8     16.1806   0.0847  12.3262    16.294    0.19    5.6   12.487    0.00    1.0    9.014    0.00    0.8  
 18.9365833   0.2541388  5.100    0.689     17.1683   0.0653  16.1402    17.235    0.15    7.0     16.6992   0.1574   6.4107    17.112    0.52    2.1   12.488    0.00   -0.8    8.528    0.00    0.2  
 18.9427917  -2.8867333  5.070    0.736     16.3670   0.0299  35.8620    16.421    0.08   13.9     15.8333   0.0703  14.9617    15.873    0.17    6.6   11.760    0.00    1.7    8.322    0.00    1.4  
 19.0595833   5.6382499  5.330    0.516     16.3537   0.0307  34.8490    16.369    0.07   15.7     15.6439   0.0607  17.4053    15.759    0.13    8.1   12.234    0.36    3.0    8.836    0.00    0.6  
 20.2247080  21.7850555  5.420    0.936     16.5474   0.0329  32.5121    16.630    0.09   12.8     15.9176   0.0716  14.6617    15.848    0.17    6.5   12.466    0.00    0.6    9.267    0.00   -0.1  
 21.4213377 -25.8822880  5.790    0.375     16.2233   0.0246  43.6749    16.212    0.06   17.9     15.5982   0.0528  20.0606    15.491    0.11    9.7   12.531    0.42    2.6    8.337    0.00    2.0  
 22.2810000  -0.4793055  5.010    -9.99     18.1338   0.1354   7.5267    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 22.4937910  -0.5943611  5.780    -9.99    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9    -99.9990  -9.9900 -99.9990    -9.990   -9.99   -9.9   -9.990   -9.99   -9.9   -9.990   -9.99   -9.9
 22.8639166  -3.3500527  5.180    0.060     14.5423   0.0071 152.6593    14.576    0.03   35.6     13.8866   0.0136  79.5241    13.843    0.04   30.1   11.446    0.17    6.2    8.492    0.00    1.9  
