# na        desig               ra_2           dec_2          redshift   Z         errZ       Y         errY       J         errJ       H         errH       K          errK      
  HSC       J0859+0022          134.7799583    0.38219444     6.39       23.204    0.225764   -1000.0   -1000.0    23.518    0.900732   22.8402   0.506271   22.3999    0.510589  
  HSC       J1202-0057          180.6932083    -0.95047222    5.93       24.1482   0.468203   24.7508   1.33336    25.1553   2.75475    23.0406   0.850859   24.1959    2.52734   
  HSC       J1205-0000          181.2712417    -0.00776944    6.75       -1.0E9    -1.0E9     22.8281   0.207626   22.1376   0.131521   21.5404   0.173453   20.7683    0.103843  
  HSC       J1207-0005          181.9755833    -0.09813889    6.01       23.7912   0.380267   24.9286   2.32687    -1.0E9    -1.0E9     -1000.0   -1000.0    -1.0E9     -1.0E9    
  HSC       J2216-0016          334.1852917    -0.28058333    6.1        -1000.0   -1000.0    -1000.0   -1000.0    22.4604   0.264326   21.8756   0.311535   21.8482    0.290299  
  HSC       J2232+0012          338.050125     0.21066667     6.18       -1000.0   -1000.0    -1000.0   -1000.0    22.3589   0.301528   -1.0E9    -1.0E9     -1.0E9     -1.0E9    
  HSC       J2236+0032          339.18575      0.54913889     6.4        -1000.0   -1000.0    -1000.0   -1000.0    23.0454   0.519834   22.13     0.585273   22.7607    0.702781  
  IMS       J0850-0506          132.6173333    -5.1019167     5.357      -1000.0   -1000.0    -1000.0   -1000.0    21.7137   0.299622   -1000.0   -1000.0    21.7009    0.633296  
  IMS       J2204+0012          331.0746667    1.19577778     5.94       -1000.0   -1000.0    -1000.0   -1000.0    22.0453   0.259621   -1.0E9    -1.0E9     22.3094    2.07371   
  IMS       J2206+0201          331.6450417    2.02675        5.101      -1000.0   -1000.0    -1000.0   -1000.0    22.2049   0.252472   -1000.0   -1000.0    -1000.0    -1000.0   
  MMT       J0215-0529          33.8469583     -5.49605555    5.13       20.8168   0.031771   20.6783   0.009111   20.5541   0.081743   20.0821   0.08       20.3824    0.151781  
  MMT       J2202+0131          330.63833333   1.52230555     5.23       -1000.0   -1000.0    -1000.0   -1000.0    22.3834   0.207995   -1000.0   -1000.0    -1000.0    -1000.0   
  MMT       J2213+0034          333.27191666   0.56883333     5.31       -1000.0   -1000.0    -1000.0   -1000.0    22.0834   0.243838   22.1927   0.714348   21.69689   0.298555  
  MMT       J2215-0009          333.83425      -0.15233333    5.28       -1000.0   -1000.0    -1000.0   -1000.0    21.611    0.152511   22.0917   0.550648   20.8197    0.134695  
  VHS       J2102-1458          315.580083     -14.9816666    6.648      -1000.0   -1000.0    20.9645   0.122492   21.0283   0.194751   -1000.0   -1000.0    22.2225    1.19385   
  VIK       J0109-3047          17.471379      -30.790642     6.7909     27.8225   20.7137    21.2468   0.099174   21.2779   0.102752   21.134    0.139823   -1000.0    -1000.0   
  VIK       J0305-3150          46.320483      -31.848861     6.6145     23.0412   0.200634   20.8876   0.059179   20.6375   0.051098   20.6772   0.082956   20.265     0.07025   
  VIK       J0328-3253          52.147942      -32.889678     5.86       19.8513   0.0282     20.0674   0.055978   19.8207   0.043718   19.8156   0.070173   19.8091    0.081217  
  VIK       J0839+0015          129.98065      0.2650583      5.84       21.4348   0.052763   21.0911   0.072476   20.824    0.072379   -1000.0   -1000.0    20.4311    0.131567  
  VIK       J1148+0056          177.13825      0.9450722      5.84       21.7961   0.06081    21.3327   0.065975   21.5502   0.086432   21.3065   0.24056    21.1494    0.158981  
  VIK       J1152+0055          178.08863      0.92685833     6.37       22.1545   0.078813   21.7135   0.099973   21.4943   0.096383   21.5176   0.204196   21.2259    0.324321  
  VIK       J1215+0023          183.8202986    0.39018341     5.93       -1000.0   -1000.0    -1000.0   -1000.0    21.2622   0.088206   21.2508   0.171275   20.9796    0.193897  
  VIK       J2318-3113          349.5          -31.21666667   6.51       -1.0E9    -1.0E9     -1.0E9    -1.0E9     25.933    6.32552    23.5741   1.53031    -1.0E9     -1.0E9    
  VIK       J2348-3054          357.1389       -30.902844     6.9018     24.509    0.691746   21.1834   0.057377   21.0963   0.05838    21.2655   0.204083   20.5187    0.083653  
  DELS      J0910-0414          137.727208     -4.2352222     6.63       -1000.0   -1000.0    -1000.0   -1000.0    20.2115   0.084454   -1000.0   -1000.0    19.4714    0.085005  
  DELS      J1048-0109          162.0829167    -1.16116944    6.63       20.257    0.016021   19.9402   0.024917   19.5213   0.019117   19.1635   0.026411   18.8859    0.024254  
  MMT       J0221-0342A         35.3013333     -3.70877777    5.02       21.5897   0.056117   -1000.0   -1000.0    21.3972   0.12385    20.8161   0.107745   21.0625    0.142466  
  SDSS      J0005-0006          1.4680833      -0.1154999     5.85       -1000.0   -1000.0    -1000.0   -1000.0    20.73     0.130241   19.9908   0.085715   20.5448    0.171531  
  SDSS      J0023-0018          5.8777916      -0.3101111     5.06       -1000.0   -1000.0    -1000.0   -1000.0    20.3912   0.10205    20.1208   0.126243   19.9415    0.105881  
  SDSS      J0054-0109          13.5892499     -1.156         5.09       -1000.0   -1000.0    -1000.0   -1000.0    19.6362   0.049141   19.3906   0.055732   19.4883    0.088034  
