

003311.40-012524.90	6.13	Willott07	CFHQS
004533.568+090156.96	6.42	Mazzucchelli17	PANSTARRS
005006.67+344522.60	6.25	Becker15	Willott10, CFHQS
005502.91+014618.30	6.03	Willott09	CFHQS
010013.03+280225.84	6.3	Wu15	SDSS; Fan14
013603.17+022605.70	6.21	Willott10	CFHQS
014243.70-332745.72	6.31	Carnall15	ATLAS
014310.24-554510.68	6.25	Reed17	DES-VHS
015957.96-363356.88	6.02	Carnall15	ATLAS
020258.21-025153.60	6.03	Matsuoka17	SHELLQs (possible)
020611.20-025537.80	6.03	Matsuoka17	SHELLQs (possible)
021013.19-045620.90	6.44	Willott10(o)	CFHQS
021144.53-020303.90	6.37	Matsuoka18	SHELLQs
021627.81-045534.10	6.01	Willott09	CFHQS
021638.85-522620.60	6.41	Yang18	DES-VHS
021721.59-020852.60	6.20	Matsuoka17	SHELLQs
022122.71-080251.50	6.16	Willott10	CFHQS
022743.29-060530.20	6.2	Willott09	CFHQS

023542.42-053241.60	6.09	Matsuoka17	SHELLQs
030331.40-001912.90	6.078	Jiang08	SDSS
032340.34-470120.13	6.25	Reed17	DES-VHS
033027.92-402516.40	6.25	Reed17	DES-VHS
035349.72+010404.40	6.072	Jiang08	SDSS
040212.69+245124.43	6.18	Banados16	PANSTARRS
040819.23-563228.82	6.03	Reed17	DES-VHS
041003.23-441440.70	6.21	Reed17	DES-VHS
042011.34-445323.80	6.07	Reed17	DES-VHS
042138.05-265715.61	6.14	Banados16	PANSTARRS
042201.00-192728.69	6.12	Banados16	PANSTARRS
045401.79-444831.10	6.1	Reed15	DES-VHS
055945.47-153500.20	6.05	Banados16	PANSTARRS
080305.42+313834.2	6.377	Wang18	DELS
081827.40+172251.80	6.0	Fan06	SDSS
082813.41+263355.49	6.05	used by Reines16	UKIDSS unpublished
083400.88+021146.90	6.15	Matsuoka18	SHELLQs
084229.43+121850.50	6.069	DeRosa11	SDSS, also Jiang15
084408.61-013216.50	6.18	Matsuoka18	SHELLQs
084431.60-005254.60	6.25	Matsuoka17	SHELLQs
085348.84+013911.00	6.01	Matsuoka17	SHELLQs
085738.53+005612.70	6.35	Matsuoka17	SHELLQs
085907.19+002255.90	6.39	Matsuoka16	SHELLQs
090254.87+015510.90	6.01	Matsuoka17	SHELLQs
090544.65+030058.80	6.27	Matsuoka17	SHELLQs
090921.50+044042.90	6.15	Matsuoka18	SHELLQs
091114.27+015219.40	6.07	Matsuoka17	SHELLQs (possible)
091833.17+013923.30	6.19	Matsuoka18	SHELLQs
095740.39+005333.60	6.05	Matsuoka18	SHELLQs
100401.36+023930.7	6.41	Matsuoka18	SHELLQs
103027.10+052455.00	6.28	Fan01	SDSS
100219.10-142515.96	6.07	Chehade18	ATLAS		## THIS coordinate is wrong !!
103654.19-023237.94	6.38	Banados16	PANSTARRS
104845.05+463718.30	6.198	Fan03	SDSS
113717.73+354956.90	6.01	Fan06	SDSS
114632.66-015438.30	6.16	Matsuoka18	SHELLQs
114648.42+012420.10	6.27	Matsuoka18	SHELLQs
114658.89-000537.70	6.30	Matsuoka18	SHELLQs
114803.28+070208.30	6.339	Jiang16	SDSS
114816.64+525150.30	6.419	Fan03	SDSS DR12
115221.27+005536.60	6.37	Matsuoka16	SHELLQs
120103.02+013356.40	6.06	Matsuoka17	SHELLQs
120737.43+063010.10	6.040	Jiang15	SDSS; also Warren in prep?
120754.14-000553.30	6.01	Matsuoka16	SHELLQs
120859.23-020034.80	6.2	Matsuoka17	SHELLQs
121226.981+050533.49	6.4386	Mazzucchelli17	PANSTARRS
121721.34+013142.47	6.2	Banados16	PANSTARRS+DECaLS
121905.34+005037.50	6.01	Matsuoka18	SHELLQs
125051.93+313022.90	6.13	Fan06	SDSS
125757.47+634937.20	6.02	Jiang15	SDSS
130608.26+035626.30	6.016	Fan01	SDSS
131608.14+102832.8	6.35	Wang18	DELS
131911.29+095051.40	6.132	Mortlock09	UKIDSS, also SDSS - unclear
140028.79-001151.50	6.27	Matsuoka18	SHELLQs
140029.99-012521.00	6.04	Matsuoka18	SHELLQs
140147.34+274935.03	6.14	Banados16	PANSTARRS
140254.67+402403.19	6.04	Banados16	PANSTARRS
140629.12-011611.20	6.33	Matsuoka18	SHELLQs
140646.88-014402.60	6.10	Matsuoka18	SHELLQs
141612.71+001546.20	6.03	Matsuoka17	SHELLQs
141653.01+014702.20	6.07	Matsuoka18	SHELLQs
141728.67+011712.40	6.02	Matsuoka17	SHELLQs
142331.71-001809.10	6.13	Matsuoka17	SHELLQs
142517.72-001540.90	6.18	Matsuoka17	SHELLQs
142738.59+331241.00	6.12	McGreer	NDWFS; radio selected
142821.39-160243.30	6.11	Banados16	PANSTARRS
142910.22-000207.40	6.04	Matsuoka17	SHELLQs
142952.17+544717.70	6.21	Willott10	CFHQS
143140.45-072446.47	6.14	Banados16	PANSTARRS
144001.30-010702.20	6.13	Matsuoka17	SHELLQs
150941.78-174926.80	6.12	Willott07	CFHQS
153532.87+194320.1	6.4	Wang18	DELS
155850.99-072409.59	6.11	Banados16	PANSTARRS
155909.09+221217.43	6.07	Wang17	DECaLS
160254.18+422822.90	6.09	Fan04	SDSS
160349.07+551032.30	6.041	Kashikawa15	Subaru, ELAIS, marginal
