# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
#
# Results of Query: Database VSERV1000v20181217 08/02/19 11:03
# SELECT qso.qsoName,m.mjdObs,remeas.filterID,
# (remeas.aperMag3+f.VegaToAB) as aperMag3AverAB, remeas.aperMag3Err, 
# remeas.ppErrBits   /* Basic QSO parameters and photometry extracted 
# from each OB   epoch. */ FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasurement as remeas, 
# Filter as f, Multiframe as m,MapFrameStatus as mfs   /* Main tables 
# for query. MapApertureIDshighzQsoMap joins   finalQsoCatalogue to 
# vserv1000MapRemeasurement */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=remeas.apertureID and 
# remeas.catalogueID=mfs.catalogueID and 
# mfs.multiframeID=m.multiframeID and f.filterID=m.filterID   /* Join 
# all the tables correctly MapFrameStatus links the   catalogueID to 
# the multiframeID, which allows us to link to the   image metadate in 
# Multiframe to get the observation time (mjdObs) */ and qso.qsoID=56   
# /* Select a particular QSO, qsoID=54 (MMTJ0215-0529) */ ORDER BY 
# qso.qsoID,remeas.filterID
# Column Headers at start of file AND below
#
# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                 CFHQSJ0216-0455,  +56161.3580441,   1, -9.999995E008, -9.999995E008,    4194496
                 CFHQSJ0216-0455,  +56243.2157667,   1,    +24.448132,     +1.215119,          0
                 CFHQSJ0216-0455,  +56252.2531314,   1,    +25.650852,     +5.483470,          0
                 CFHQSJ0216-0455,  +56161.3248469,   1,    +25.094315,     +1.632186,          0
                 CFHQSJ0216-0455,  +56181.2648779,   1,    +24.325808,     +0.818989,          0
                 CFHQSJ0216-0455,  +55893.1379949,   1,    +24.156578,     +0.986699,          0
                 CFHQSJ0216-0455,  +56219.2493461,   1,    +24.464930,     +1.004665,          0
                 CFHQSJ0216-0455,  +55892.1787048,   1,    +24.255816,     +1.027790,          0
                 CFHQSJ0216-0455,  +56251.2212969,   1, -9.999995E008, -9.999995E008,    4194496
                 CFHQSJ0216-0455,  +56216.2544059,   1,    +25.593016,     +3.369145,          0
                 CFHQSJ0216-0455,  +56220.2013737,   1,    +25.666075,     +3.056666,          0
                 CFHQSJ0216-0455,  +56241.1480312,   1,    +24.659346,     +1.077437,          0
                 CFHQSJ0216-0455,  +56220.2908758,   1,    +25.637571,     +2.933310,          0
                 CFHQSJ0216-0455,  +56248.2598896,   1,    +24.221338,     +1.075821,          0
                 CFHQSJ0216-0455,  +56211.1846442,   1, -9.999995E008, -9.999995E008,    4194496
