 qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ0836+0054,  +55238.1671140,   1,    +18.788267,     +0.008979,          0
                  SDSSJ0836+0054,  +55238.1639093,   1,    +18.785564,     +0.008426,          0
                  SDSSJ0836+0054,  +55238.1480751,   2,    +18.784187,     +0.017068,          0
                  SDSSJ0836+0054,  +55237.0986662,   2,    +18.834576,     +0.023543,          0
                  SDSSJ0836+0054,  +55238.1451310,   2,    +18.817991,     +0.016586,          0
                  SDSSJ0836+0054,  +55237.0826649,   3,    +18.622060,     +0.025270,          0
                  SDSSJ0836+0054,  +55238.1807867,   3,    +18.641085,     +0.021647,          0
                  SDSSJ0836+0054,  +55238.1792581,   3,    +18.604837,     +0.017063,          0
                  SDSSJ0836+0054,  +55283.1167261,   3,    +18.643170,     +0.022884,          0
                  SDSSJ0836+0054,  +55276.0830707,   4,    +18.326323,     +0.022135,          0
                  SDSSJ0836+0054,  +55283.1527738,   4,    +18.349422,     +0.020739,          0
                  SDSSJ0836+0054,  +55276.0854270,   4,    +18.308080,     +0.024785,          0
                  SDSSJ0836+0054,  +55276.0645274,   5,    +18.100930,     +0.020474,          0
                  SDSSJ0836+0054,  +55283.1369350,   5,    +18.113123,     +0.021394,          0
                  SDSSJ0836+0054,  +55276.0682105,   5,    +18.118595,     +0.027540,          0
