no,l,b,RA_1,DEC_1,RA(hms),DEC(dms),Name,Class,Rmag,B/Gmag,psfMag_u,psfMag_g,psfMag_r,psfMag_i,psfMag_z,psfMagErr_u,psfMagErr_g,psfMagErr_r,psfMagErr_i,psfMagErr_z,redshift,citation,redshift_citation,Xname,Rname,FIRST____flux(mJy),NVSS____flux(mJy),VLBI_flux__1.4GHz(mJy),VLBI_flux__1.6GHz(mJy),VLBI_flux__1.7GHz(mJy),VLBI_flux__2.3GHz(mJy),VLBI_flux__3GHz(mJy),VLBI_flux__4.3GHz(mJy),VLBI_flux__4.9GHz(mJy),VLBI_flux_5GHz(mJy),VLBI_flux__7.6GHz(mJy),VLBI_flux__8.3(mJy),VLBI_flux__8.4(mJy),VLBI_flux___8.6GHz(mJy),VLBI_flux__15GHz(mJy),VLBI_flux_22GHz(mJy),VLBI_flux__43GHz(mJy),VLBI_reference,notes
1,108.134448,-37.439027,0.038611,23.954722,00 00 09.27,+23 57 17.00,PSS~J0000+2357,Q,19.4,21.1,,,,,,,,,,,4.03,2001ASPC..225...52D,2001ASPC..225...52D,,,-1,0,,,,,,,,,,,,,,,,,
2,108.527891,-36.630591,0.154184,24.815610,00 00 37.00,+24 48 56.19,SDSS~J000037.00+244856.1,Q,19.7,21.3,26.1,22.25,20.51,20.28,20.31,0.34,0.08,0.03,0.03,0.1,4.171,2017A&A...597A..79P,2017A&A...597A..79P,,,-1,0,,,,,,,,,,,,,,,,,
3,97.591352,-59.192138,0.194550,1.164235,00 00 46.69,+01 09 51.24,SDSS~J000046.69+010951.2,Q,21.8,24.1,23.85,24.07,21.78,21.67,21.52,0.69,0.36,0.08,0.12,0.34,4.248,2012A&A...548A..66P,2017A&A...597A..79P,,,0.147*,,,,,,,,,,,,,,,,,,
4,96.892873,-60.088921,0.214875,0.200694,00 00 51.57,+00 12 02.5,SDSS~J000051.57+001202.5,QR,21.94,20.2,23.8,21.93,20.22,19.88,19.72,1.08,0.06,0.03,0.03,0.07,4,2017MNRAS.467.4763T,2017MNRAS.467.4763T,,,2.64,,,,,,,,,,,,,,,,,,
5,109.323001,-34.709038,0.340125,26.835881,00 01 21.63,+26 50 09.17,PSO~J000.3401+26.8358,Q,23.07,24.57,25.92,24.56,23.04,21.33,19.41,0.73,0.66,0.31,0.09,0.07,5.75,2016ApJS..227...11B,2016ApJS..227...11B,,,-1,0,,,,,,,,,,,,,,,,,
6,103.717435,-49.792383,0.350976,11.203525,00 01 24.23,+11 12 12.69,SDSS~J000124.23+111212.6,Q,20.5,22.5,23.53,22.45,20.5,20.35,20.22,0.48,0.09,0.03,0.04,0.11,4.297,2017A&A...597A..79P,2017A&A...597A..79P,,,0.092*,,,,,,,,,,,,,,,,,,
7,109.385329,-35.742207,0.664167,25.843056,00 02 39.40,+25 50 35.00,SDSS~J00026+2550,QX,23.1,24.6,25.69,24.64,23.2,21.59,19.03,0.82,0.6,0.32,0.11,0.05,5.8,2004AJ....128..515F,2004AJ....128..515F,CXOX J000239.3+255034,,-1,0,,,,,,,,,,,,,,,,,
8,112.363885,-24.327353,0.691945,37.543611,00 02 46.07,+37 32 37.00,PSS~J0002+3732,QR,18.8,21.8,,,,,,,,,,,4.21,2001ASPC..225...52D,2001ASPC..225...52D,,NVSS J000245.9+373236,-1,18.7,,,,,,,,,,,,,,,,,
9,35.919172,-79.207649,0.845556,-26.055000,00 03 22.93,-26 03 18.00,Q~0000-26,QX,17.1,20.4,,,,,,,,,,,4.111,1989AJ.....98.1507S,1989ApJS...69..703S,3XMM J000322.9-260318,,-1,0,,,,,,,,,,,,,,,,,
10,110.040714,-34.159326,0.846111,27.506667,00 03 23.07,+27 30 24.00,PSS~J0003+2730,Q,18.9,21.1,25.62,21.36,19.4,19.17,19.11,0.78,0.03,0.02,0.02,0.04,4.23,2002ApJ...565...50C,2002ApJ...565...50C,,,-1,0,,,,,,,,,,,,,,,,,
