# no     l            b            RA_1         DEC_1        RA(hms)        DEC(dms)       Name                                       Class   Rmag    B/Gmag   psfMag_u   psfMag_g   psfMag_r   psfMag_i   psfMag_z   psfMagErr_u   psfMagErr_g   psfMagErr_r   psfMagErr_i   psfMagErr_z   redshift   citation                               redshift_citation     Xname                   Rname                    FIRST____flux(mJy)   NVSS____flux(mJy)   VLBI_flux__1.4GHz(mJy)   VLBI_flux__1.6GHz(mJy)   VLBI_flux__1.7GHz(mJy)   VLBI_flux__2.3GHz(mJy)   VLBI_flux__3GHz(mJy)   VLBI_flux__4.3GHz(mJy)   VLBI_flux__4.9GHz(mJy)   VLBI_flux_5GHz(mJy)   VLBI_flux__7.6GHz(mJy)   VLBI_flux__8.3(mJy)   VLBI_flux__8.4(mJy)   VLBI_flux___8.6GHz(mJy)   VLBI_flux__15GHz(mJy)   VLBI_flux_22GHz(mJy)   VLBI_flux__43GHz(mJy)   VLBI_reference                                                                                                              notes                                  
  1720   339.451529   ""           68.674851    9.477392     "13 42 08.10"  "+09 28 38.61" ULAS~J134208.10+092838.61                  Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            7.54       2018Natur.553..473B                    2018Natur.553..473B   ""                      ""                       0.149*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  1167   252.047414   ""           60.188209    6.690083     "11 20 01.48"  "+06 41 24.30" ULAS~J112001.48+064124.3                   QX      24      0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            7.085      2011Natur.474..616M                    2011Natur.474..616M   "CXOX J112001.4+064123" ""                       0.14*                ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  77     107.949859   -77.953288   9.650417     -15.456556   "00 38 36.10"  "-15 27 23.6"  "DELS J003836.10-152723.6"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            7.021      2018ApJ...869L...9W                    2018ApJ...869L...9W   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  322    180.861916   -53.738867   43.069333    -5.058889    "02 52 16.64"  "-05 03 31.8"  DES~J025216.64-050331.8                    Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            7.02       2018arXiv181111915Y                    2018arXiv181111915Y   ""                      ""                       0.173*               -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  578    182.973839   ""           37.004834    39.003194    "08 39 46.88"  "+39 00 11.5"  "DELS J083946.88+390011.5"                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.95       2018arXiv181011926W                    2018arXiv181011926W   ""                      ""                       0.143*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2570   64.427667    -40.834269   332.6135     3.074583     "22 10 27.24"  "+03 04 28.5"  J2210+0304                                 Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.9        2018MNRAS.478.1649C                    2018MNRAS.478.1649C   ""                      ""                       0.126*               ""                  ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2761   13.840517    -75.758254   357.138917   -30.902778   "23 48 33.34"  "-30 54 10.00" VIKING~J2348-3054                          Q       23      0        ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.886      2013ApJ...779...24V                    2013ApJ...779...24V   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  2572   327.265492   -45.468949   332.7525     -63.348889   "22 11 00.60"  "-63 20 55.8"  DES~J221100.6-632055.8                     Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.88       2018arXiv181111915Y                    2018arXiv181111915Y   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  312    270.27768    -56.845602   41.732917    -52.330556   "02 46 55.90"  "-52 19 49.9"  DES~J024655.90-521949.9                    Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.87       2018arXiv181111915Y                    2018arXiv181111915Y   ""                      ""                       -1                   -1.0                ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
  43     334.80027    -78.247101   5.13113      -36.897194   "00 20 31.47"  "-36 53 49.9"  VDES~J0020-3653                            Q       ""      ""       ""         ""         ""         ""         ""         ""            ""            ""            ""            ""            6.86       2019arXiv190107456R                    2019arXiv190107456R   ""                      ""                       -1                   0.0                 ""                       ""                       ""                       ""                       ""                     ""                       ""                       ""                    ""                       ""                    ""                    ""                        ""                      ""                     ""                      ""                                                                                                                          ""                                     
