# na	desig	ra	dec	redshift	Z	errZ	Y	errY	J	errJ	H	errH	K	errK	unW1mag	unW1err	unW1snr	unW2mag	unW2err	unW2snr	w3mpro	w3sig	w3snr	w4mpro	w4sig	w4snr
PSO	J000.3401+26.8358	0.34011348	26.83588138	5.75	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.3196125031	0.0477051027119	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.2798881531	0.0257134139538	41.7264709473	15.5194416046	0.0499253496528	21.2510299683	12.5939998627	0.49200001359	2.20000004768	8.75599956512	-999999488.0	1.10000002384
SDSS	J0002+2550	0.66411726	25.84304425	5.82000017166	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.3732738495	0.0866741240025	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.249961853	0.0261485241354	41.0239295959	15.4176998138	0.0468457452953	22.6804141998	12.4160003662	0.423000007868	2.59999990463	8.6829996109	-999999488.0	1.20000004768
SDSS	J0005-0006	1.4680833	-0.1154999	5.84999990463	-999999500.0	-999999500.0	20.7003956003	0.211177259684	20.7299575768	0.176826119423	20.0520290975	0.08211082047984847	20.486287047	0.13993848102751844	17.4926567078	0.0790981277823	13.2325086594	16.7021827698	0.153358325362	6.59150362015	12.4449996948	-999999488.0	-999999488.0	9.00800037384	-999999488.0	-999999488.0
PSO	J002.1073-06.4345	2.10739	-6.43456	5.92999982834	-999999500.0	-999999500.0	-999999500.0	-999999500.0	20.263004303	0.0395693555474	-999999500.0	-999999500.0	19.73645401	0.0815955623984	16.8019676208	0.0445161908865	23.8931007385	15.9619722366	0.0784313827753	13.3491477966	11.8920001984	-999999488.0	1.5	8.75899982452	-999999488.0	0.20000000298
SDWISE	J0008+3616	2.2142917	36.2704138	5.17000007629	-999999500.0	-999999500.0	-999999500.0	-999999500.0	19.3310985565	0.0787960588932	-999999500.0	-999999500.0	-999999500.0	-999999500.0	16.0176544189	0.020799357444	51.7020988464	15.4339361191	0.0444366782904	23.9367580414	12.0430002213	-999999488.0	1.79999995232	8.78600025177	-999999488.0	1.10000002384
PSO	J002.3786+32.8702	2.37870183	32.87026179	6.09999990463	-999999500.0	-999999500.0	-999999500.0	-999999500.0	22.1719112396	0.85506772995	-999999500.0	-999999500.0	-999999500.0	-999999500.0	17.9508991241	0.105581879616	9.7914648056	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
SDSS	J0017-1000	4.3111666	-10.01539722	5.0110001564	-999999500.0	-999999500.0	19.2356700897	0.0315600782633	19.2564563751	0.0452768392861	-999999500.0	-999999500.0	18.7770595551	0.0650013908744	15.9757528305	0.0216724611819	49.599029541	15.3141860962	0.0449227206409	23.6724281311	12.0260000229	0.333999991417	3.20000004768	8.52000045776	-999999488.0	1.20000004768
PSO	J004.3936+17.0862	4.39361347	17.08630447	5.80000019073	-999999500.0	-999999500.0	-999999500.0	-999999500.0	20.7393780672	0.07505557503336374	-999999500.0	-999999500.0	20.284892993	0.113674402237	17.8337440491	0.103233084083	10.0252456665	16.695602417	0.145078554749	6.99491119385	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0	-999999488.0
PSO	J004.8140-24.2991	4.81408	-24.29916	5.67999982834	-999999500.0	-999999500.0	19.535161972	0.0475200787187	19.192150116	0.0487412698567	-999999500.0	-999999500.0	19.0667533875	0.089722879231	16.3204536438	0.02835563384	37.7921524048	15.6784105301	0.0607830658555	17.3671588898	12.123000145	0.344000011683	3.20000004768	8.81999969482	-999999488.0	0.5
VDES	J0020-3653	5.1311237	-36.8949476	6.90000009537	-999999500.0	-999999500.0	-999999500.0	-999999500.0	20.4218120575	0.0998926237226	-999999500.0	-999999500.0	19.3191299438	0.0963125005364	16.8671016693	0.0406538359821	26.2100105286	16.4126358032	0.101974949241	10.1549062729	12.6789999008	-999999488.0	-999999488.0	8.34200000763	-999999488.0	0.800000011921
