# qsoName,qsoID,ra,dec,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
            PSOJ000.3401+26.8358,                   0,      +0.3401135,     +26.8358814,   3,    +19.338612,     +0.038238,          0
                  SDSSJ0002+2550,                   1,      +0.6641173,     +25.8430442,   3,    +19.392273,     +0.069474,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   2,    +20.717396,     +0.175023,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   4,    +20.336922,     +0.270494,          0
                  SDSSJ0005-0006,                   2,      +1.4680833,      -0.1154999,   5,    +20.302505,     +0.238056,          0
                SDWISEJ0008+3616,                   4,      +2.2142917,     +36.2704138,   3,    +19.350098,     +0.063265,          0
            PSOJ002.3786+32.8702,                   5,      +2.3787018,     +32.8702618,   3,    +22.190910,     +0.724715,          0
                  SDSSJ0012+3632,                 438,      +3.1369990,     +36.5378055,   3,    +19.032724,     +0.048705,          0
            PSOJ004.3936+17.0862,                   7,      +4.3936135,     +17.0863045,   3,    +20.578094,     +0.202108,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   2,    +20.632853,     +0.102704,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   3,    +20.626087,     +0.141225,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   4,    +20.597242,     +0.300888,          0
                  SDSSJ0023-0018,                  10,      +5.8777916,      -0.3101111,   5,    +20.768220,     +0.231324,          0
            PSOJ006.1240+39.2219,                  11,      +6.1240417,     +39.2219306,   3,    +21.299635,     +0.421661,          0
                SDWISEJ0025-0145,                  12,      +6.3618333,      -1.7590306,   4,    +17.744932,     +0.003998,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   2,    +20.235310,     +0.071786,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   3,    +20.063700,     +0.087151,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   4,    +20.404612,     +0.167251,          0
            PSOJ007.0273+04.9571,                  13,      +7.0273329,      +4.9571232,   5,    +20.266216,     +0.160662,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   2,    +20.044384,     +0.082396,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   3,    +20.215570,     +0.146073,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   4,    +19.485508,     +0.105933,          0
                SDWISEJ0031+0710,                  14,      +7.8577500,      +7.1769222,   5,    +19.609877,     +0.123397,          0
                  SDSSJ0034+3759,                 439,      +8.5597920,     +37.9983333,   3,    +19.721762,     +0.091053,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   2,    +21.054594,     +0.234263,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   4,    +20.642813,     +0.177309,          0
            PSOJ011.3899+09.0325,                  18,     +11.3898667,      +9.0324889,   5,    +20.760576,     +0.251248,          0
                 CFHQSJ0050+3445,                  19,     +12.5277710,     +34.7560148,   3,    +19.984750,     +0.120001,          0
                   PS1J0052+4556,                 464,     +13.1810417,     +45.9422306,   3,    +19.309996,     +0.063683,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   2,    +19.621803,     +0.057344,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   3,    +19.413523,     +0.065120,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   4,    +19.222145,     +0.077951,          0
                  SDSSJ0054-0109,                  20,     +13.5892499,      -1.1560000,   5,    +19.399721,     +0.031146,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   2,    +24.140348,     +2.525379,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   3,    +23.052269,     +1.442814,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   4,    +22.383560,     +1.333662,          0
                 CFHQSJ0055+0146,                  21,     +13.7621250,      +1.7717500,   5,    +21.083440,     +0.373650,          0
                  SDSSJ0056+2241,                 440,     +14.2334990,     +22.6867111,   3,    +20.005327,     +0.098978,          0
                  SDSSJ0100+2802,                  22,     +15.0542635,     +28.0405320,   3,    +17.618029,     +0.011513,          0
                  SDSSJ0100+2802,                  22,     +15.0542635,     +28.0405320,   4,    +17.482088,     +0.017596,          0
                 SUVAWJ0108+0711,                  24,     +17.0274999,      +7.1890556,   2,    +19.976220,     +0.070246,          0
                 SUVAWJ0108+0711,                  24,     +17.0274999,      +7.1890556,   3,    +19.839905,     +0.087540,          0
                 SUVAWJ0108+0711,                  24,     +17.0274999,      +7.1890556,   4,    +19.547499,     +0.088968,          0
                 SUVAWJ0108+0711,                  24,     +17.0274999,      +7.1890556,   5,    +19.559840,     +0.092700,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   2,    +20.930004,     +0.190875,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   3,    +21.946697,     +0.621261,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   4,    +20.955866,     +0.352807,          0
                  SDSSJ0108-0100,                  25,     +17.1248333,      -1.0043333,   5,    +21.006262,     +0.431708,          0
                 SUVAWJ0113+0559,                  27,     +18.4739583,      +5.9975278,   2,    +20.352013,     +0.094054,          0
                 SUVAWJ0113+0559,                  27,     +18.4739583,      +5.9975278,   3,    +20.225520,     +0.118230,          0
                 SUVAWJ0113+0559,                  27,     +18.4739583,      +5.9975278,   4,    +19.765018,     +0.108320,          0
                 SUVAWJ0113+0559,                  27,     +18.4739583,      +5.9975278,   5,    +19.620980,     +0.092362,          0
                  SDSSJ0114+3238,                 441,     +18.7296250,     +32.6378694,   3,    +19.953634,     +0.095684,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   2,    +20.791945,     +0.117981,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   3,    +20.543272,     +0.103367,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   4,    +20.453041,     +0.144825,          0
                  SDSSJ0115+0015,                  28,     +18.9365833,      +0.2541388,   5,    +20.380030,     +0.132802,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   1,    +19.895820,     +0.075765,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   2,    +19.923525,     +0.085058,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   3,    +19.640306,     +0.074633,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   4,    +19.528025,     +0.086688,          0
                SDWISEJ0115-0253,                  29,     +18.9427916,      -2.8867333,   5,    +19.502531,     +0.086432,          0
                SDWISEJ0116+0538,                  30,     +19.0595833,      +5.6382499,   2,    +19.135479,     +0.042239,          0
                SDWISEJ0116+0538,                  30,     +19.0595833,      +5.6382499,   3,    +18.924883,     +0.047234,          0
