## Objects with >5.0 magnitude errors, across all five ZYJHK/Ks-bands


Z-band
# na  desig      ra        dec        redshift Z       errZ    Y       errY    J       errJ     H      errH     K       errK    unW1mag unW1err unW1snr unW2mag unW2err unW2snr w3mpro w3sig w3snr w4mpro w4sig w4snr
  VIK J0109-3047 17.471379 -30.790642 6.79     27.8225 20.7137 21.2468 0.09917 21.2779 0.102752 21.134 0.139823 -1000.0 -1000.0 17.9607 0.1096  9.4161  -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 


Y-band
# na      desig      ra          dec          redshift Z          errZ       Y          errY       J         errJ      H          errH       K          errK       unW1mag unW1err unW1snr unW2mag unW2err unW2snr w3mpro w3sig w3snr w4mpro w4sig w4snr
  SHELLQs J0844-0052 131.1316666  -0.8818333  6.25     -999.99999 -999.99999 28.91128 353.10153 25.43772   12.554456  -999.99999 -999.99999 -999.99999 -999.99999 -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J0902+0155 135.728625   1.91969444  6.01     24.2383    0.44529    25.9623  4.84416   22.9069    0.406374   23.3342    1.0647     -1.0E9     -1.0E9     -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J1146-0005 176.745375   -0.0938056  6.3      -1.0E9     -1.0E9     25.2742  4.18531   23.4565    0.619389   22.3199    0.585418   22.6937    0.630852   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J1219+0050 184.77225    0.84375     6.01     -999.99999 -999.99999 25.23681 11.28852  21.206644  0.243602   21.717892  0.55845    20.574286  0.266481   -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J1429-0002 217.29258333 -0.03538889 6.04     -1.0E9     -1.0E9     27.1226  22.9341   -1.0E9     -1.0E9     -1.0E9     -1.0E9     -1.0E9     -1.0E9     -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  SHELLQs J2255+0251 343.9085     2.8573889   6.34     -999.99999 -999.99999 27.35337 63.67306  -999.99999 -999.99999 21.473616  0.411124   -999.99999 -999.99999 17.8215 0.1103  9.3547  -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 
  CFHQS   J2329-0403 352.31025    -4.0566944  5.9      -999.99999 -999.99999 25.0024  6.69078   23.1083    1.25675    -1.0E9     -1.0E9     22.4071    1.18566    -99.999 -9.99   -99.999 -99.999 -9.99   -99.999 -9.99  -9.99 -9.9  -9.99  -9.99 -9.9 


J-band
# na      desig      ra          dec          redshift Z          errZ       Y          errY       J         errJ      H          errH       K          errK       unW1mag unW1err unW1snr unW2mag unW2err unW2snr w3mpro w3sig w3snr w4mpro w4sig w4snr
