# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
#
# Results of Query: Database VSERV1000v20181217 10/02/19 14:35
# SELECT qso.qsoName,aver.filterID,AVG(m.mjdObs) as mjd, 
# (MAX(m.mjdObs)-MIN(m.mjdObs)) as duration, aver.aperJky3, 
# aver.aperJky3Err,(aver.aperMag3+f.VegaToAB) as aperMag3Ab,
# aver.aperMag3Err, aver.ppErrBits, COUNT(mfs.catalogueID) as nMeas,
# SUM(d.totalExpTime) as totExpTime   /* In this selection we have 
# included the average mjdObs (averaged   over all frames in a 30 
# period) and the duration (the mjd of the   last frame in the period 
# minus that of the first), the number of   frames (nMeas) and the sum 
# of the integration times. We have also   included the calibrated 
# fluxes (aperJky3), since in many cases the a   faint source may have 
# very low S/N */ FROM finalQsoCatalogue as qso,
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasAver as aver,
# MapProvenance as mp, MapFrameStatus as mfs,MultiframeDetector as d,
# Multiframe as m,Filter as f, vserv1000MapRemeasurement as remeas   /* 
# The tables to select from include MapProvenance to select the   
# correct averaging time scale and to get the frames used in each   
# average catalogue. Also include MultiframeDetector to get the   
# integration time. */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and mp.combiCatID=aver.catalogueID and 
# mp.avSetupID=3 and    /* Do joins and select avSetupID=3 --> average 
# over 30 days. Other   avSetupID values can be used to change the 
# averaging timescale */ mp.catalogueID=mfs.catalogueID and 
# d.multiframeID=mfs.multiframeID and 
# mfs.catalogueID=remeas.catalogueID and 
# remeas.apertureID=aver.apertureID and remeas.extNum=d.extNum and 
# qsoID=54 and f.filterID=d.filterID and m.multiframeID=d.multiframeID  
#  /* Select qsoID=54 */  GROUP BY qso.qsoName,aver.filterID, 
# aver.aperJky3,aver.aperJky3Err, aver.aperMag3,aver.aperMag3Err,
# aver.ppErrBits,f.VegaToAB   /* GROUP BY attributes that are part of 
# are associated with the   average so that we get statistics for 
# properties measured at the   frame level */
# Column Headers at start of file AND below
#
# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
                   MMTJ0215-0529,   1,  +55895.6955754,     +23.0338455,+1.513684E-005,+4.628493E-007,    +20.941914,     +0.033199,    4194432,          7,   +3150.0000000
                   MMTJ0215-0529,   1,  +56249.3584371,     +24.9427536,+1.698292E-005,+4.976820E-007,    +20.816969,     +0.031817,    4194304,         24,  +10800.0000000
                   MMTJ0215-0529,   1,  +56213.7510207,     +29.0938340,+1.698504E-005,+4.970226E-007,    +20.816833,     +0.031771,    4194304,         26,  +11700.0000000
                   MMTJ0215-0529,   1,  +56177.7234162,     +25.8886074,+1.705720E-005,+4.453798E-007,    +20.812231,     +0.028350,    4194304,         14,   +6300.0000000
                   MMTJ0215-0529,   1,  +56130.0287986,      +5.9812518,+1.917169E-005,+5.208024E-007,    +20.685350,     +0.029494,    4194432,          3,   +1350.0000000
                   MMTJ0215-0529,   2,  +57307.2032892,     +18.9185774,+1.697155E-005,+1.001068E-006,    +20.808697,     +0.064042,    4194432,          3,    +864.0000000
                   MMTJ0215-0529,   2,  +55777.3699225,     +16.0649107,+1.869318E-005,+2.618472E-007,    +20.703793,     +0.015209,          0,         10,   +4800.0000000
                   MMTJ0215-0529,   2,  +57345.1489433,     +28.1351866,+1.889529E-005,+1.194857E-006,    +20.692116,     +0.068657,    4194304,          2,    +576.0000000
                   MMTJ0215-0529,   2,  +55808.7371581,     +29.9658254,+1.904282E-005,+2.767304E-007,    +20.683672,     +0.015778,          0,         12,   +5760.0000000
                   MMTJ0215-0529,   2,  +56600.6352112,      +1.2117762,+1.907078E-005,+9.325151E-007,    +20.682080,     +0.053090,    4194304,         11,   +5280.0000000
                   MMTJ0215-0529,   2,  +55832.8321268,      +6.0330330,+1.944637E-005,+4.128009E-007,    +20.660904,     +0.023048,          0,          4,   +1920.0000000
                   MMTJ0215-0529,   2,  +55526.9832446,     +24.0104057,+2.020797E-005,+4.612887E-007,    +20.619194,     +0.024784,          0,          6,   +2640.0000000
                   MMTJ0215-0529,   2,  +55585.1021067,  +0.0000000E000,+2.071708E-005,+1.330171E-006,    +20.592178,     +0.069711,          0,          1,    +480.0000000
