qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ0836+0054,  +5.5222389E004,   1,    +18.854637,     +0.014198,          0
                  SDSSJ0836+0054,  +5.5222360E004,   1,    +18.831503,     +0.013727,          0
                  SDSSJ0836+0054,  +5.5222402E004,   1,    +18.850948,     +0.014083,          0
                  SDSSJ0836+0054,  +5.5222414E004,   1,    +18.819801,     +0.013385,    4194304
                  SDSSJ0836+0054,  +5.5222366E004,   1,    +18.794048,     +0.013070,      32768
                  SDSSJ0836+0054,  +5.5222420E004,   1,    +18.814661,     +0.013227,          0
                  SDSSJ0836+0054,  +5.5222372E004,   1,    +18.802923,     +0.012968,          0
                  SDSSJ0836+0054,  +5.5222384E004,   1,    +18.787570,     +0.013021,      32768
                  SDSSJ0836+0054,  +5.5222378E004,   1,    +18.807617,     +0.012977,          0
                  SDSSJ0836+0054,  +5.5222408E004,   1,    +18.804958,     +0.013010,          0
                  SDSSJ0836+0054,  +5.5222354E004,   1,    +18.843498,     +0.013528,    4194304
                  SDSSJ0836+0054,  +5.5222395E004,   1,    +18.826101,     +0.013591,    4194304
                  SDSSJ0836+0054,  +5.5221389E004,   2,    +18.895424,     +0.015587,          0
                  SDSSJ0836+0054,  +5.5221352E004,   2,    +18.883090,     +0.016972,          0
                  SDSSJ0836+0054,  +5.5221360E004,   2,    +18.890110,     +0.016799,          0
                  SDSSJ0836+0054,  +5.5221419E004,   2,    +18.895672,     +0.014825,          0
                  SDSSJ0836+0054,  +5.5221341E004,   2,    +18.854753,     +0.019367,          0
                  SDSSJ0836+0054,  +5.4080556E004,   2,    +18.887598,     +0.031806,          0
                  SDSSJ0836+0054,  +5.5221371E004,   2,    +18.914692,     +0.018460,          0
                  SDSSJ0836+0054,  +5.5221425E004,   2,    +18.855293,     +0.016257,          0
                  SDSSJ0836+0054,  +5.5221383E004,   2,    +18.866608,     +0.017795,          0
                  SDSSJ0836+0054,  +5.5220382E004,   3,    +18.637260,     +0.012867,          0
                  SDSSJ0836+0054,  +5.5220312E004,   3,    +18.667088,     +0.015897,          0
                  SDSSJ0836+0054,  +5.5219390E004,   3,    +18.636870,     +0.014084,          0
                  SDSSJ0836+0054,  +5.5947512E004,   3,    +18.650446,     +0.028484,          0
                  SDSSJ0836+0054,  +5.4076609E004,   3,    +18.611362,     +0.028603,          0
                  SDSSJ0836+0054,  +5.5220330E004,   3,    +18.637417,     +0.015502,          0
                  SDSSJ0836+0054,  +5.5220369E004,   3,    +18.625736,     +0.015051,          0
                  SDSSJ0836+0054,  +5.5220343E004,   3,    +18.642708,     +0.015039,    4194304
                  SDSSJ0836+0054,  +5.5220318E004,   3,    +18.606210,     +0.013723,          0
                  SDSSJ0836+0054,  +5.5219408E004,   3,    +18.641914,     +0.012745,          0
                  SDSSJ0836+0054,  +5.5220337E004,   3,    +18.629282,     +0.015926,          0
                  SDSSJ0836+0054,  +5.5220376E004,   3,    +18.641985,     +0.012487,          0
                  SDSSJ0836+0054,  +5.5219426E004,   3,    +18.686623,     +0.014076,    4194304
                  SDSSJ0836+0054,  +5.5219402E004,   3,    +18.625181,     +0.012341,          0
                  SDSSJ0836+0054,  +5.5220349E004,   3,    +18.616077,     +0.014664,          0
                  SDSSJ0836+0054,  +5.5219384E004,   3,    +18.645859,     +0.013630,    4194304
                  SDSSJ0836+0054,  +5.5220324E004,   3,    +18.647942,     +0.015639,    4194304
                  SDSSJ0836+0054,  +5.5219414E004,   3,    +18.641869,     +0.013867,      32768
                  SDSSJ0836+0054,  +5.5220355E004,   3,    +18.608543,     +0.018400,          0
                  SDSSJ0836+0054,  +5.5219420E004,   3,    +18.648272,     +0.014382,          0
                  SDSSJ0836+0054,  +5.5220363E004,   3,    +18.643461,     +0.018163,    4194304
                  SDSSJ0836+0054,  +5.5219396E004,   3,    +18.648859,     +0.013695,      32768
                  SDSSJ0836+0054,  +5.4076636E004,   4,    +18.401804,     +0.028484,          0
                  SDSSJ0836+0054,  +5.4078578E004,   5,    +18.084196,     +0.030683,          0
