# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
#
# Results of Query: Database VSERV1000v20181217 12/02/19 11:18
# SELECT qso.qsoName,aver.filterID,AVG(m.mjdObs) as mjd, 
# (MAX(m.mjdObs)-MIN(m.mjdObs)) as duration, aver.aperJky3, 
# aver.aperJky3Err,(aver.aperMag3+f.VegaToAB) as aperMag3Ab,
# aver.aperMag3Err, aver.ppErrBits, COUNT(mfs.catalogueID) as nMeas,
# SUM(d.totalExpTime) as totExpTime   /* In this selection we have 
# included the average mjdObs (averaged   over all frames in a 30 day 
# period) and the duration (the mjd of the   last frame in the period 
# minus that of the first), the number of   frames (nMeas) and the sum 
# of the integration times. We have also   included the calibrated 
# fluxes (aperJky3), since in many cases the a   faint source may have 
# very low S/N */ FROM finalQsoCatalogue as qso,
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasAver as aver,
# MapProvenance as mp, MapFrameStatus as mfs,MultiframeDetector as d,
# Multiframe as m,Filter as f, vserv1000MapRemeasurement as remeas   /* 
# The tables to select from include MapProvenance to select the   
# correct averaging time scale and to get the frames used in each   
# average catalogue. Also include MultiframeDetector to get the   
# integration time. */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=aver.apertureID and mp.combiCatID=aver.catalogueID and 
# mp.avSetupID=3 and    /* Do joins and select avSetupID=3 --> average 
# over 30 days. Other   avSetupID values can be used to change the 
# averaging timescale */ mp.catalogueID=mfs.catalogueID and 
# d.multiframeID=mfs.multiframeID and 
# mfs.catalogueID=remeas.catalogueID and 
# remeas.apertureID=aver.apertureID and remeas.extNum=d.extNum and 
# qsoID=56 and f.filterID=d.filterID and m.multiframeID=d.multiframeID  
#  /* Select qsoID=54 */  GROUP BY qso.qsoName,aver.filterID, 
# aver.aperJky3,aver.aperJky3Err, aver.aperMag3,aver.aperMag3Err,
# aver.ppErrBits,f.VegaToAB   /* GROUP BY attributes that are part of 
# are associated with the   average so that we get statistics for 
# properties measured at the   frame level */
# Column Headers at start of file AND below
#
# qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
                 CFHQSJ0216-0455,   1,  +56130.0423217,      +5.9956477,+4.161454E-007,+1.704223E-007,    +24.843887,     +0.444637,          0,          9,   +4050.0000000
                 CFHQSJ0216-0455,   1,  +55895.0863969,     +23.0392710,+4.824760E-007,+1.234226E-007,    +24.683311,     +0.277743,          0,         17,   +7650.0000000
                 CFHQSJ0216-0455,   1,  +56213.7773717,     +29.1066483,+4.883595E-007,+5.857629E-008,    +24.670150,     +0.130229,          0,         64,  +28800.0000000
                 CFHQSJ0216-0455,   1,  +56177.0842155,     +25.9023705,+5.208801E-007,+7.330542E-008,    +24.600157,     +0.152800,          0,         35,  +15650.0000000
                 CFHQSJ0216-0455,   1,  +56249.2784180,     +24.9493730,+5.859836E-007,+6.371405E-008,    +24.472286,     +0.118052,          0,         55,  +24750.0000000
                 CFHQSJ0216-0455,   2,  +55585.1158876,      +0.0137733,-3.996036E-007,+8.533980E-007, -9.999995E008, -9.999995E008,          0,          2,    +960.0000000
                 CFHQSJ0216-0455,   2,  +57372.1344194,      +0.0042039,-3.097562E-007,+7.464986E-007, -9.999995E008, -9.999995E008,          0,          2,    +576.0000000
                 CFHQSJ0216-0455,   2,  +55808.4448130,     +29.9788963,-2.164284E-007,+1.703143E-007, -9.999995E008, -9.999995E008,          0,         27,  +12960.0000000
                 CFHQSJ0216-0455,   2,  +55530.3666293,      +6.0277777,-1.645513E-007,+3.034798E-007, -9.999995E008, -9.999995E008,          0,         10,   +4800.0000000
                 CFHQSJ0216-0455,   2,  +56600.6810831,      +1.2224695,-8.133743E-008,+1.858636E-007, -9.999995E008, -9.999995E008,          0,         27,  +12960.0000000
                 CFHQSJ0216-0455,   2,  +55126.8284877,      +4.0222613,+3.869156E-008,+2.292049E-007,    +27.413960,     +6.431792,          0,          6,   +3840.0000000
                 CFHQSJ0216-0455,   2,  +56587.6840532,     +29.9254238,+1.379476E-007,+9.454574E-008,    +26.033714,     +0.744136,          0,         81,  +38880.0000000
                 CFHQSJ0216-0455,   2,  +57342.3452131,     +28.1420977,+1.863886E-007,+5.604106E-007,    +25.706951,     +3.264460,          0,          5,   +1440.0000000
                 CFHQSJ0216-0455,   2,  +55776.6000117,     +16.0789844,+1.901964E-007,+1.525478E-007,    +25.684994,     +0.870820,          0,         23,  +11040.0000000
                 CFHQSJ0216-0455,   2,  +57307.0749048,     +18.9226367,+2.745018E-007,+3.926152E-007,    +25.286636,     +1.552910,          0,          7,   +2016.0000000
                 CFHQSJ0216-0455,   2,  +55833.0723990,      +6.0464850,+4.976148E-007,+2.527643E-007,    +24.640766,     +0.551501,          0,         11,   +5280.0000000
                 CFHQSJ0216-0455,   3,  +57398.1249399,      +0.0075575,-1.373870E-006,+8.991353E-007, -9.999995E008, -9.999995E008,          0,          2,    +960.0000000
                 CFHQSJ0216-0455,   3,  +57288.6144548,     +29.9329811,-3.656985E-007,+2.084304E-007, -9.999995E008, -9.999995E008,          0,         22,   +9984.0000000
                 CFHQSJ0216-0455,   3,  +57352.0347152,     +27.1131463,-4.972356E-008,+2.594260E-007, -9.999995E008, -9.999995E008,          0,         20,   +9024.0000000
                 CFHQSJ0216-0455,   3,  +57317.4268686,     +26.0174296,-1.588879E-008,+2.142225E-007, -9.999995E008, -9.999995E008,          0,         23,   +9888.0000000
                 CFHQSJ0216-0455,   3,  +57369.1438831,      +9.0175527,+1.130327E-007,+3.837122E-007,    +26.250990,     +3.685750,          0,          8,   +3456.0000000
                 CFHQSJ0216-0455,   3,  +55178.1879264,      +0.0049284,+1.158380E-006,+1.683026E-006,    +23.724371,     +1.577481,          0,          6,    +360.0000000
                 CFHQSJ0216-0455,   4,  +56847.4043730,      +0.0145157,-2.584502E-006,+1.683624E-006, -9.999995E008, -9.999995E008,          0,          3,   +1260.0000000
                 CFHQSJ0216-0455,   4,  +56947.2079812,     +29.9159464,-1.054936E-006,+2.949011E-007, -9.999995E008, -9.999995E008,          0,         33,  +13860.0000000
                 CFHQSJ0216-0455,   4,  +56915.9004172,     +24.9276828,-8.121218E-007,+4.524629E-007, -9.999995E008, -9.999995E008,          0,         10,   +4200.0000000
                 CFHQSJ0216-0455,   4,  +56965.6454368,      +8.0531286,-2.080481E-008,+4.641693E-007, -9.999995E008, -9.999995E008,          0,         15,   +6300.0000000
                 CFHQSJ0216-0455,   4,  +57336.3411659,     +10.9726090,+3.469000E-008,+3.201218E-007,    +27.533490,    +10.019251,          0,         36,  +15120.0000000
                 CFHQSJ0216-0455,   4,  +57312.3271425,     +28.8003094,+7.864331E-008,+3.831025E-007,    +26.644846,     +5.289048,          0,         21,   +8760.0000000
                 CFHQSJ0216-0455,   4,  +55178.1943593,      +0.0051549,+6.963530E-007,+2.900928E-006,    +24.276926,     +4.523055,          0,          6,    +360.0000000
                 CFHQSJ0216-0455,   5,  +55178.2009768,      +0.0052572,-5.378895E-006,+3.617924E-006, -9.999995E008, -9.999995E008,          0,          6,    +360.0000000
                 CFHQSJ0216-0455,   5,  +56953.3385212,     +26.9699342,-2.457045E-006,+1.219588E-006, -9.999995E008, -9.999995E008,          0,          5,   +2100.0000000
                 CFHQSJ0216-0455,   5,  +56911.7803190,     +28.9958997,-1.278052E-006,+7.023284E-007, -9.999995E008, -9.999995E008,          0,          9,   +3780.0000000
                 CFHQSJ0216-0455,   5,  +56986.3068320,     +15.0094350,-2.107652E-007,+4.037008E-007, -9.999995E008, -9.999995E008,          0,         38,  +15960.0000000
                 CFHQSJ0216-0455,   5,  +56650.6617743,     +25.0068335,+3.671723E-007,+3.923502E-007,    +24.978825,     +1.160188,          0,         48,  +20040.0000000
                 CFHQSJ0216-0455,   5,  +56621.2165136,     +29.9755524,+1.230781E-006,+6.823930E-007,    +23.665548,     +0.601974,          0,         14,   +5880.0000000
