# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
#
# Selected from VSERV1000v20200113
# qso.qsoName,m.mjdObs,meas.filterID,(meas.aperMag3+f.VegaToAB) as aperMag3AverAB,meas.aperMag3Err,meas.ppErrBits
# /* Basic QSO parameters and photometry extracted from each OB   epoch. */
# finalQsoCatalogue as qso,MapApertureIDshighzQsoMap as ma,vserv1000MapRemeasurement as meas,Filter as f,MapFrameStatus as mfs,Multiframe as m
# /* Main tables for query. MapApertureIDshighzQsoMap joins 
# finalQsoCatalogue to vserv1000MapRemeasurement */
# qso.qsoName='SDSSJ0959+0227' and qso.qsoID=ma.objectID and ma.apertureID=meas.apertureID and meas.filterID=f.filterID and meas.catalogueID=mfs.catalogueID and mfs.multiframeID=m.multiframeID
# /* Join all the tables correctly MapFrameStatus links the 
# catalogueID to the multiframeID, which allows us to link to the 
# image metadate in Multiframe to get the observation time (mjdObs) */
# /* Select a particular QSO, qsoName='SDSSJ0959+0227' */ #
# Returns 1294 rows
#
# Column Headers at start of file AND below
#
# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
SDSSJ0959+0227,55696.0804051,5,22.9724712372,0.847413003445,4194304
SDSSJ0959+0227,56010.2135181,5,22.7071342468,0.861427545547,0
SDSSJ0959+0227,56750.1731275,2,23.2815971375,0.45295637846,4194432
SDSSJ0959+0227,56733.1320196,5,-999999488.0,-999999488.0,4194432
SDSSJ0959+0227,57738.3111044,4,23.5445766449,0.72119307518,4194304
SDSSJ0959+0227,56750.9906948,5,23.013053894,0.64554810524,4194304
SDSSJ0959+0227,57374.2965563,2,24.3044567108,0.655097186565,0
SDSSJ0959+0227,57512.0433193,4,23.4636497498,1.0520004034,4194432
SDSSJ0959+0227,57408.2320346,3,24.1238040924,1.33600533009,4194432
SDSSJ0959+0227,56386.1516553,9,-999999488.0,-999999488.0,4194432
SDSSJ0959+0227,57373.2759389,3,23.9365310669,0.595258057117,4194432
SDSSJ0959+0227,56691.3347539,9,24.8146419525,5.25749492645,0
SDSSJ0959+0227,56733.1610236,5,23.7413291931,1.47789311409,4194304
SDSSJ0959+0227,57499.9748983,5,22.7620639801,0.774512052536,0
SDSSJ0959+0227,55706.9699224,5,23.250371933,0.993056416512,0
