# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
#
# Results of Query: Database VSERV1000v20181217 12/02/19 11:44
# SELECT qso.qsoName,m.mjdObs,remeas.filterID,
# (remeas.aperMag3+f.VegaToAB) as aperMag3AverAB, remeas.aperMag3Err, 
# remeas.ppErrBits   /* Basic QSO parameters and photometry extracted 
# from each OB   epoch. */ FROM finalQsoCatalogue as qso, 
# MapApertureIDshighzQsoMap as ma, vserv1000MapRemeasurement as remeas, 
# Filter as f, Multiframe as m,MapFrameStatus as mfs   /* Main tables 
# for query. MapApertureIDshighzQsoMap joins   finalQsoCatalogue to 
# vserv1000MapRemeasurement */ WHERE qso.qsoID=ma.objectID and 
# ma.apertureID=remeas.apertureID and 
# remeas.catalogueID=mfs.catalogueID and 
# mfs.multiframeID=m.multiframeID and f.filterID=m.filterID   /* Join 
# all the tables correctly MapFrameStatus links the   catalogueID to 
# the multiframeID, which allows us to link to the   image metadate in 
# Multiframe to get the observation time (mjdObs) */ and qso.qsoID=164  
#  /* Select a particular QSO, qsoID=54 (MMTJ0215-0529) */ ORDER BY 
# qso.qsoID,remeas.filterID
# Column Headers at start of file AND below
#
# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ1000+0234,  +55279.1258418,   2,    +27.532541,    +21.743979,    4194432
                  SDSSJ1000+0234,  +56750.1731275,   2,    +24.309110,     +1.108059,          0
                  SDSSJ1000+0234,  +55986.1460190,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +55948.1564548,   2,    +25.095665,     +1.638019,          0
                  SDSSJ1000+0234,  +57077.1550251,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +55286.0400223,   2,    +25.994804,     +9.633504,    4194432
                  SDSSJ1000+0234,  +57426.2618979,   2,    +26.559525,     +6.134606,          0
                  SDSSJ1000+0234,  +56750.0775365,   2,    +26.853680,     +8.982919,    4194304
                  SDSSJ1000+0234,  +56654.2889412,   2,    +26.260921,     +3.772962,          0
                  SDSSJ1000+0234,  +56369.1753370,   2,    +24.384462,     +0.912764,    4194304
                  SDSSJ1000+0234,  +55565.2113091,   2,    +26.521145,    +15.980560,          0
                  SDSSJ1000+0234,  +55986.2387956,   2, -9.999995E008, -9.999995E008,    4194304
                  SDSSJ1000+0234,  +56064.0540141,   2,    +25.889383,     +4.964684,    4194304
                  SDSSJ1000+0234,  +57422.2517167,   2,    +25.253650,     +2.164014,          0
                  SDSSJ1000+0234,  +57071.1797575,   2,    +23.667534,     +0.612459,          0
                  SDSSJ1000+0234,  +55591.1550742,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +56383.1253671,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +57448.0843278,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +55591.1981431,   2,    +24.136282,     +1.514504,          0
                  SDSSJ1000+0234,  +56366.1470372,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +55941.1779719,   2,    +23.825022,     +0.810976,          0
                  SDSSJ1000+0234,  +55249.2201604,   2,    +25.122002,     +1.488303,    4194304
                  SDSSJ1000+0234,  +56342.1853003,   2,    +25.911800,     +2.875344,    4194304
                  SDSSJ1000+0234,  +56767.0968696,   2,    +25.702170,     +3.430637,          0
                  SDSSJ1000+0234,  +55250.2531577,   2,    +24.019490,     +1.059649,    4194432
                  SDSSJ1000+0234,  +55250.2626256,   2, -9.999995E008, -9.999995E008,    4194432
                  SDSSJ1000+0234,  +57049.2650092,   2,    +24.222761,     +0.794338,    4194304
                  SDSSJ1000+0234,  +56637.2978290,   2, -9.999995E008, -9.999995E008,          0
                  SDSSJ1000+0234,  +56694.2411455,   2, -9.999995E008, -9.999995E008,    4194304
                  SDSSJ1000+0234,  +57051.1827236,   2,    +24.256823,     +0.721989,          0
                  SDSSJ1000+0234,  +57452.1428091,   2,    +25.747070,     +3.902611,          0
                  SDSSJ1000+0234,  +55949.2238011,   2,    +25.107763,     +1.589659,          0
                  SDSSJ1000+0234,  +55969.2799903,   2,    +25.763481,     +3.071452,          0
                  SDSSJ1000+0234,  +57455.2152132,   2,    +25.610247,     +2.094900,    4194304
                  SDSSJ1000+0234,  +57421.1778085,   2,    +25.128794,     +1.794516,          0
