qsoName,filterID,mjd,duration,aperJky3,aperJky3Err,aperMag3Ab,aperMag3Err,ppErrBits,nMeas,totExpTime
                  SDSSJ2216+0013,   2,  +5.4763235E004,      +0.0730700,+2.600624E-005,+5.731616E-007,    +20.345306,     +0.023929,          0,          3,   +1200.0000000
                  SDSSJ2216+0013,   2,  +5.5122243E004,      +2.0361500,+2.648068E-005,+3.096138E-007,    +20.325678,     +0.012694,          0,          9,   +3600.0000000
                  SDSSJ2216+0013,   2,  +5.4979314E004,      +7.9686800,+2.756096E-005,+3.020227E-007,    +20.282265,     +0.011898,          0,          7,   +3600.0000000
                  SDSSJ2216+0013,   2,  +5.5506230E004,      +2.0258800,+2.790562E-005,+5.504510E-007,    +20.268772,     +0.021417,          0,          4,   +1600.0000000
                  SDSSJ2216+0013,   2,  +5.4397280E004,  +0.0000000E000,+2.797561E-005,+2.611047E-006,    +20.266052,     +0.101335,          0,          1,     +40.0000000
                  SDSSJ2216+0013,   3,  +5.4397300E004,  +0.0000000E000,+2.773092E-005,+4.050229E-006,    +20.273590,     +0.158577,          0,          1,     +40.0000000
                  SDSSJ2216+0013,   3,  +5.3715223E004,  +0.0000000E000,+2.911668E-005,+1.384000E-006,    +20.220646,     +0.051608,          0,          1,    +640.0000000
                  SDSSJ2216+0013,   3,  +5.3541580E004,  +0.0000000E000,+3.088578E-005,+1.097847E-006,    +20.156605,     +0.038593,          0,          1,    +500.0000000
                  SDSSJ2216+0013,   3,  +5.3621711E004,     +24.9769000,+3.140437E-005,+2.274335E-007,    +20.138525,     +0.007863,          0,         19,  +1.1040000E004
                  SDSSJ2216+0013,   3,  +5.3497615E004,  +0.0000000E000,+3.510133E-005,+2.223241E-006,    +20.017693,     +0.068768,          0,          1,    +120.0000000
                  SDSSJ2216+0013,   4,  +5.4385239E004,  +0.0000000E000,+3.963991E-005,+5.765780E-006,    +19.904669,     +0.157925,          0,          1,     +40.0000000
                  SDSSJ2216+0013,   5,  +5.4385254E004,  +0.0000000E000,+3.608755E-005,+5.639296E-006,    +20.006607,     +0.169665,          0,          1,     +40.0000000
                  SDSSJ2216+0013,   5,  +5.3619283E004,     +19.0365600,+4.697251E-005,+4.755890E-007,    +19.720390,     +0.010993,          0,         10,   +6400.0000000
                  SDSSJ2216+0013,   5,  +5.3535806E004,     +10.0133300,+4.927653E-005,+5.218092E-007,    +19.668400,     +0.011497,          0,          9,   +4500.0000000
                  SDSSJ2216+0013,   6,  +5.6545464E004,  +0.0000000E000, -9.999995E008, -9.999995E008, -9.999995E008, -9.999995E008,          0,          1,   +3360.0000000
