qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
                  SDSSJ2216+0013,  +5.5505218E004,   2,    +20.259892,     +0.054699,          0
                  SDSSJ2216+0013,  +5.5121273E004,   2,    +20.383854,     +0.049109,          0
                  SDSSJ2216+0013,  +5.5121250E004,   2,    +20.263603,     +0.045550,          0
                  SDSSJ2216+0013,  +5.5122273E004,   2,    +20.313232,     +0.041870,          0
                  SDSSJ2216+0013,  +5.5507216E004,   2,    +20.233340,     +0.048808,          0
                  SDSSJ2216+0013,  +5.4763269E004,   2,    +20.307575,     +0.039908,          0
                  SDSSJ2216+0013,  +5.4981586E004,   2,    +20.267859,     +0.050856,          0
                  SDSSJ2216+0013,  +5.4397280E004,   2,    +20.266052,     +0.127103,          0
                  SDSSJ2216+0013,  +5.4976584E004,   2,    +20.289248,     +0.032010,          0
                  SDSSJ2216+0013,  +5.5122218E004,   2,    +20.335735,     +0.050639,          0
                  SDSSJ2216+0013,  +5.4979588E004,   2,    +20.347103,     +0.053344,          0
                  SDSSJ2216+0013,  +5.5121226E004,   2,    +20.272762,     +0.047012,          0
                  SDSSJ2216+0013,  +5.5507244E004,   2,    +20.325550,     +0.052543,          0
                  SDSSJ2216+0013,  +5.5123262E004,   2,    +20.322113,     +0.040799,          0
                  SDSSJ2216+0013,  +5.5505244E004,   2,    +20.248037,     +0.052942,          0
                  SDSSJ2216+0013,  +5.4979615E004,   2,    +20.377869,     +0.054326,          0
                  SDSSJ2216+0013,  +5.5123235E004,   2,    +20.358257,     +0.045905,          0
                  SDSSJ2216+0013,  +5.4983587E004,   2,    +20.274055,     +0.029104,          0
                  SDSSJ2216+0013,  +5.4975619E004,   2,    +20.217087,     +0.043027,          0
                  SDSSJ2216+0013,  +5.5122246E004,   2,    +20.377125,     +0.046262,          0
                  SDSSJ2216+0013,  +5.4978621E004,   2,    +20.261055,     +0.057479,          0
                  SDSSJ2216+0013,  +5.4763240E004,   2,    +20.391260,     +0.044646,          0
                  SDSSJ2216+0013,  +5.5123207E004,   2,    +20.295977,     +0.048999,          0
                  SDSSJ2216+0013,  +5.4763196E004,   2,    +20.286797,     +0.153176,          0
                  SDSSJ2216+0013,  +5.3612352E004,   3,    +20.190193,     +0.047269,          0
                  SDSSJ2216+0013,  +5.3625431E004,   3,    +20.112434,     +0.042315,          0
                  SDSSJ2216+0013,  +5.3715223E004,   3,    +20.220646,     +0.069806,          0
                  SDSSJ2216+0013,  +5.3612449E004,   3,    +20.176744,     +0.050438,          0
                  SDSSJ2216+0013,  +5.3619399E004,   3,    +20.120827,     +0.032145,          0
                  SDSSJ2216+0013,  +5.3632357E004,   3,    +20.206028,     +0.048369,          0
                  SDSSJ2216+0013,  +5.3612295E004,   3,    +20.106432,     +0.052650,          0
                  SDSSJ2216+0013,  +5.3622461E004,   3,    +20.159416,     +0.036705,          0
                  SDSSJ2216+0013,  +5.3618403E004,   3,    +20.119420,     +0.044663,          0
                  SDSSJ2216+0013,  +5.3623409E004,   3,    +20.110224,     +0.043918,          0
                  SDSSJ2216+0013,  +5.3637272E004,   3,    +20.165310,     +0.062285,          0
                  SDSSJ2216+0013,  +5.3617409E004,   3,    +20.041178,     +0.039416,          0
                  SDSSJ2216+0013,  +5.3612373E004,   3,    +20.081179,     +0.044368,          0
                  SDSSJ2216+0013,  +5.3633333E004,   3,    +20.058320,     +0.048805,          0
                  SDSSJ2216+0013,  +5.3497615E004,   3,    +20.017693,     +0.082585,          0
                  SDSSJ2216+0013,  +5.3618517E004,   3,    +20.212402,     +0.046749,          0
                  SDSSJ2216+0013,  +5.4397300E004,   3,    +20.273590,     +0.193528,          0
                  SDSSJ2216+0013,  +5.3617453E004,   3,    +20.145025,     +0.047618,          0
                  SDSSJ2216+0013,  +5.3616467E004,   3,    +20.192370,     +0.039989,          0
                  SDSSJ2216+0013,  +5.3634308E004,   3,    +20.149435,     +0.043606,          0
                  SDSSJ2216+0013,  +5.3624465E004,   3,    +20.137861,     +0.040991,          0
                  SDSSJ2216+0013,  +5.3622360E004,   3,    +20.137112,     +0.048481,          0
                  SDSSJ2216+0013,  +5.3541580E004,   3,    +20.156605,     +0.046371,          0
                  SDSSJ2216+0013,  +5.4385239E004,   4,    +19.904669,     +0.187435,          0
                  SDSSJ2216+0013,  +5.3533606E004,   5,    +19.686660,     +0.041832,          0
                  SDSSJ2216+0013,  +5.3540613E004,   5,    +19.694033,     +0.043278,          0
                  SDSSJ2216+0013,  +5.3535605E004,   5,    +19.661419,     +0.038405,          0
                  SDSSJ2216+0013,  +5.3540513E004,   5,    +19.640190,     +0.051090,          0
                  SDSSJ2216+0013,  +5.3533561E004,   5,    +19.676165,     +0.046154,          0
                  SDSSJ2216+0013,  +5.3611372E004,   5,    +19.769506,     +0.041849,          0
                  SDSSJ2216+0013,  +5.3540559E004,   5,    +19.629810,     +0.041218,          0
                  SDSSJ2216+0013,  +5.3614391E004,   5,    +19.674393,     +0.042240,          0
                  SDSSJ2216+0013,  +5.3532599E004,   5,    +19.609943,     +0.042709,          0
                  SDSSJ2216+0013,  +5.3624360E004,   5,    +19.654501,     +0.037811,          0
