# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
#
# Selected from VSERV1000v20200113
# qso.qsoName,m.mjdObs,meas.filterID,(meas.aperMag3+f.VegaToAB) as aperMag3AverAB,meas.aperMag3Err,meas.ppErrBits
# /* Basic QSO parameters and photometry extracted from each OB   epoch. */
# finalQsoCatalogue as qso,MapApertureIDshighzQsoMap as ma,vserv1000MapRemeasurement as meas,Filter as f,MapFrameStatus as mfs,Multiframe as m
# /* Main tables for query. MapApertureIDshighzQsoMap joins 
# finalQsoCatalogue to vserv1000MapRemeasurement */
# qso.qsoName='SHELLQsJ0220-0432' and qso.qsoID=ma.objectID and ma.apertureID=meas.apertureID and meas.filterID=f.filterID and meas.catalogueID=mfs.catalogueID and mfs.multiframeID=m.multiframeID
# /* Join all the tables correctly MapFrameStatus links the 
# catalogueID to the multiframeID, which allows us to link to the 
# image metadate in Multiframe to get the observation time (mjdObs) */
# /* Select a particular QSO, qsoName='SHELLQSJ0220-0432' */ #
# Returns 486 rows
#
# Column Headers at start of file AND below
#
# qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
SHELLQsJ0220-0432,56224.1481805,4,23.8104896545,1.56343090534,0
SHELLQsJ0220-0432,56187.2411773,5,22.3139209747,0.721943616867,0
SHELLQsJ0220-0432,56960.2717707,2,23.0314674377,0.553254365921,0
SHELLQsJ0220-0432,55171.2204198,4,22.0259723663,1.02236902714,0
SHELLQsJ0220-0432,56259.1587402,5,22.7509078979,1.14560902119,0
SHELLQsJ0220-0432,56226.2245965,4,23.1508560181,1.07739639282,0
SHELLQsJ0220-0432,56522.3810793,3,22.9673805237,0.548588991165,0
SHELLQsJ0220-0432,56921.3408958,2,27.2745952606,23.8984184265,0
SHELLQsJ0220-0432,56244.2315921,3,23.1399822235,0.807149529457,0
SHELLQsJ0220-0432,55871.2578069,5,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56263.1681368,5,23.0618114471,1.51085531712,0
SHELLQsJ0220-0432,56518.3464732,2,23.117389679,0.529903769493,0
SHELLQsJ0220-0432,55927.1367159,3,27.3505363464,35.3746109009,0
SHELLQsJ0220-0432,57006.1004437,2,24.1452140808,1.75804007053,0
SHELLQsJ0220-0432,55837.3136154,5,23.8453598022,2.52378249168,0
SHELLQsJ0220-0432,56223.1903609,4,22.5996265411,0.644228279591,0
SHELLQsJ0220-0432,55881.1985381,5,21.8661804199,0.485076636076,0
SHELLQsJ0220-0432,55897.1168038,2,23.2339496613,0.647263288498,0
SHELLQsJ0220-0432,56234.215886,4,22.6664218903,0.591312646866,0
SHELLQsJ0220-0432,55881.2320161,5,22.7263355255,1.04102480412,0
SHELLQsJ0220-0432,55215.0951545,2,23.9692687988,2.24149918556,0
SHELLQsJ0220-0432,55217.0685945,3,22.2964382172,0.757672905922,0
SHELLQsJ0220-0432,55215.0814818,3,22.9945793152,1.3558011055,0
SHELLQsJ0220-0432,57312.1370908,3,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56196.2764711,4,23.4602546692,1.07796359062,0
SHELLQsJ0220-0432,56955.2867009,2,24.955537796,3.80151486397,0
SHELLQsJ0220-0432,57312.1411782,3,22.4179725647,0.733171582222,0
SHELLQsJ0220-0432,56520.3710978,3,25.9546203613,8.55735206604,0
SHELLQsJ0220-0432,57331.1043865,2,22.3979034424,0.428427189589,0
SHELLQsJ0220-0432,57297.2851456,2,22.4536037445,0.500977754593,0
SHELLQsJ0220-0432,56519.3041557,2,25.001537323,3.48444533348,0
SHELLQsJ0220-0432,56241.0808739,3,24.5476722717,2.45044136047,0
SHELLQsJ0220-0432,56239.1143703,3,22.9999351501,0.572215795517,0
SHELLQsJ0220-0432,56929.2879776,2,23.0147972107,0.578741550446,0
SHELLQsJ0220-0432,56649.0874127,2,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56634.0897965,2,23.3687400818,0.718924582005,0
SHELLQsJ0220-0432,57372.1472556,2,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56991.150675,2,24.4137935638,2.40623879433,0
SHELLQsJ0220-0432,55171.2229215,5,20.9995689392,0.524772644043,0
SHELLQsJ0220-0432,55888.1312264,3,22.8187675476,0.68234539032,0
SHELLQsJ0220-0432,56247.1870334,3,24.7569122314,3.15036797523,0
SHELLQsJ0220-0432,56961.26391,2,23.6715869904,0.96400308609,0
SHELLQsJ0220-0432,56954.2899983,2,22.945192337,0.621210455894,0
SHELLQsJ0220-0432,56167.2524852,4,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56264.1076982,5,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,56875.3190409,2,22.772567749,0.485567033291,0
SHELLQsJ0220-0432,56253.215677,5,-999999488.0,-999999488.0,0
SHELLQsJ0220-0432,55883.2421017,2,23.2666568756,0.849220573902,0
SHELLQsJ0220-0432,56222.2029744,4,22.5875663757,0.465057194233,0
SHELLQsJ0220-0432,56210.2594841,2,23.1724510193,0.538054585457,0
SHELLQsJ0220-0432,56225.2863853,4,-999999488.0,-999999488.0,0
