qsoName,mjdObs,filterID,aperMag3AverAB,aperMag3Err,ppErrBits
               SHELLQsJ1146+0124,  +5.4583378E004,   2,    +22.652601,     +1.204698,          0
               SHELLQsJ1146+0124,  +5.7502277E004,   3,    +22.643097,     +1.710933,          0
               SHELLQsJ1146+0124,  +5.7502370E004,   3,    +21.933094,     +0.725691,          0
               SHELLQsJ1146+0124,  +5.7144289E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7500449E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.4583393E004,   3,    +21.840258,     +0.726798,          0
               SHELLQsJ1146+0124,  +5.7144288E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7500263E004,   3,    +22.039347,     +0.889630,          0
               SHELLQsJ1146+0124,  +5.7501258E004,   3,    +21.085932,     +0.392871,          0
               SHELLQsJ1146+0124,  +5.7494466E004,   3,    +21.629656,     +0.532916,          0
               SHELLQsJ1146+0124,  +5.7144289E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7501412E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7503253E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7467510E004,   3,    +21.954163,     +0.693280,          0
               SHELLQsJ1146+0124,  +5.6001546E004,   3, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7467318E004,   3,    +23.339231,     +3.419763,          0
               SHELLQsJ1146+0124,  +5.7503444E004,   3,    +22.952883,     +1.464629,          0
               SHELLQsJ1146+0124,  +5.7494260E004,   3,    +21.715902,     +0.753352,          0
               SHELLQsJ1146+0124,  +5.7144291E004,   4,    +22.529951,     +1.803465,          0
               SHELLQsJ1146+0124,  +5.7144290E004,   4,    +21.454002,     +0.675289,          0
               SHELLQsJ1146+0124,  +5.7144293E004,   4, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144292E004,   4, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.4550478E004,   4,    +23.634188,     +4.941707,          0
               SHELLQsJ1146+0124,  +5.7144295E004,   4, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144294E004,   4, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144293E004,   4,    +24.640001,    +12.310605,          0
               SHELLQsJ1146+0124,  +5.7144301E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144296E004,   5,    +23.514338,     +4.393809,          0
               SHELLQsJ1146+0124,  +5.7144302E004,   5,    +22.737503,     +2.234368,          0
               SHELLQsJ1146+0124,  +5.7144306E004,   5,    +25.319363,    +25.529043,          0
               SHELLQsJ1146+0124,  +5.7144298E004,   5,    +21.291817,     +0.573508,          0
               SHELLQsJ1146+0124,  +5.7144300E004,   5,    +21.369562,     +0.621443,          0
               SHELLQsJ1146+0124,  +5.7144303E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144296E004,   5,    +21.890795,     +0.994167,          0
               SHELLQsJ1146+0124,  +5.4550493E004,   5,    +21.445913,     +0.623444,          0
               SHELLQsJ1146+0124,  +5.7144304E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144299E004,   5,    +22.217665,     +1.363624,          0
               SHELLQsJ1146+0124,  +5.7510238E004,   5,    +21.276846,     +0.364195,          0
               SHELLQsJ1146+0124,  +5.7144307E004,   5,    +22.219965,     +1.644247,          0
               SHELLQsJ1146+0124,  +5.7144305E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144301E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144303E004,   5,    +23.597242,     +4.957458,          0
               SHELLQsJ1146+0124,  +5.7144298E004,   5,    +22.615858,     +1.958558,          0
               SHELLQsJ1146+0124,  +5.7144306E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7510445E004,   5, -9.999995E008, -9.999995E008,          0
               SHELLQsJ1146+0124,  +5.7144297E004,   5,    +25.680216,    +33.603950,          0
