#qsoName		ra		dec			Z		Y		J		H		K		errZ		errY		errJ		errH		errK		
HSCJ0859+0022		134.7799583	 0.382194400		23.204		-1000		23.518		22.8402		22.3999		0.225764	-1000		0.900732	0.506271	0.510589		
HSCJ1202-0057		180.6932083	-0.9504722		24.1482		24.7508		25.1553		23.0406		24.1959		0.468203	1.33336		2.75475		0.850859	2.52734		
HSCJ1205-0000		181.2712417	-0.0077694		-1e+09		22.8281		22.1376		21.5404		20.7683		-1e+09		0.207626	0.131521	0.173453	0.103843		
HSCJ1207-0005		181.9755833	-0.098138899		23.7912		24.9286		-1e+09		-1000		-1e+09		0.380267	2.32687		-1e+09		-1000		-1e+09		
HSCJ2216-0016		334.1852917	-0.280583300		-1000		-1000		22.4604		21.8756		21.8482		-1000		-1000		0.264326	0.311535	0.290299		
HSCJ2232+0012		338.050125	 0.21066669		-1000		-1000		22.3589		-1e+09		-1e+09		-1000		-1000		0.301528	-1e+09		-1e+09		
HSCJ2236+0032		339.18575	 0.5491389		-1000		-1000		23.0454		22.13		22.7607		-1000		-1000		0.519834	0.585273	0.702781		
IMSJ0850-0506		132.61733329	-5.1019167		-1000		-1000		21.7137		-1000		21.7009		-1000		-1000		0.299622	-1000		0.633296		
IMSJ2204+0012		331.07466669	 1.19577780		-1000		-1000		22.0453		-1e+09		22.3094		-1000		-1000		0.259621	-1e+09		2.07371		
IMSJ2206+0201		331.6450417	 2.02675		-1000		-1000		22.2049		-1000		-1000		-1000		-1000		0.252472	-1000		-1000		
MMTJ0215-0529		33.8469583	-5.4960556		20.8168		20.6783		20.5541		20.0821		20.3824		0.031771	0.009111	0.081743	0.08		0.151781		
MMTJ2202+0131		330.6383333	 1.52230560		-1000		-1000		22.3834		-1000		-1000		-1000		-1000		0.207995	-1000		-1000		
MMTJ2213+0034		333.27191669	 0.56883330		-1000		-1000		22.0834		22.1927		21.69689	-1000		-1000		0.243838	0.714348	0.298555		
MMTJ2215-0009		333.83425	-0.15233329		-1000		-1000		21.611		22.0917		20.8197		-1000		-1000		0.152511	0.550648	0.134695		
VHSJ2102-1458		315.580083	-14.9816666		-1000		20.9645		21.0283		-1000		22.2225		-1000		0.122492	0.194751	-1000		1.19385		
VIKJ0109-3047		17.4713790	-30.790642		27.8225		21.2468		21.2779		21.134		-1000		20.7137		0.099174	0.102752	0.139823	-1000		
VIKJ0305-3150		46.320483	-31.848861		23.0412		20.8876		20.6375		20.6772		20.265		0.200634	0.059179	0.051098	0.082956	0.07025		
VIKJ0328-3253		52.147942	-32.889678		19.8513		20.0674		19.8207		19.8156		19.8091		0.0282		0.055978	0.043718	0.070173	0.081217		
VIKJ0839+0015		129.98065	0.2650583		21.4348		21.0911		20.824		-1000		20.4311		0.052763	0.072476	0.072379	-1000		0.131567		
VIKJ1148+0056		177.13825	0.9450722		21.7961		21.3327		21.5502		21.3065		21.1494		0.06081		0.065975	0.086432	0.24056		0.158981		
VIKJ1152+0055		178.08863	0.9268583		22.1545		21.7135		21.4943		21.5176		21.2259		0.078813	0.099973	0.096383	0.204196	0.324321		
VIKJ1215+0023		183.8202986	0.3901834		-1000		-1000		21.2622		21.2508		20.9796		-1000		-1000		0.088206	0.171275	0.193897		
VIKJ2318-3113		349.5		-31.216666		-1e+09		-1e+09		25.933		23.5741		-1e+09		-1e+09		-1e+09		6.32552		1.53031		-1e+09		
VIKJ2348-3054		357.1389	-30.902844		24.509		21.1834		21.0963		21.2655		20.5187		0.691746	0.057377	0.05838		0.204083	0.083653		
DELSJ0910-0414		137.727208	-4.2352222		-1000		-1000		20.2115		-1000		19.4714		-1000		-1000		0.084454	-1000		0.085005		
DELSJ1048-0109		162.0829167	-1.1611694		20.257		19.9402		19.5213		19.1635		18.8859		0.016021	0.024917	0.019117	0.026411	0.024254		
MMTJ0221-0342A		35.30133329	-3.7087778		21.5897		-1000		21.3972		20.8161		21.0625		0.056117	-1000		0.12385		0.107745	0.142466		
SDSSJ0005-0006		1.4680833	-0.1154999		-1000		-1000		20.73		19.9908		20.5448		-1000		-1000		0.130241	0.085715	0.171531		
SDSSJ0023-0018		5.8777916	-0.3101111		-1000		-1000		20.3912		20.1208		19.9415		-1000		-1000		0.10205		0.126243	0.105881		
SDSSJ0054-0109		13.5892499	-1.156			-1000		-1000		19.6362		19.3906		19.4883		-1000		-1000		0.049141	0.055732	0.088034		
SDSSJ0108-0100		17.12483330	-1.0043333		-1000		-1000		21.8151		21.1967		21.6416		-1000		-1000		0.209245	0.248805	0.34144		
SDSSJ0115+0015		18.93658330	0.2541388		-1000		-1000		20.4332		20.0408		19.8076		-1000		-1000		0.037927	0.061348	0.04222		
SDSSJ0129-0028		22.281		-0.47930550		-1000		-1000		21.6552		21.4578		21.1119		-1000		-1000		0.119371	0.204405	0.143491		
SDSSJ0129-0035		22.493791	-0.5943611		-1000		-1000		21.7385		21.6972		21.6244		-1000		-1000		0.128861	0.256998	0.230041		
SDSSJ0133+0106		23.3618333	1.1104722		-1000		-1000		20.6507		20.0802		20.1229		-1000		-1000		0.056865	0.065113	0.067488		
SDSSJ0205-0955		31.44429160	-9.92325		-1000		-1000		23.7333		-1000		22.4987		-1000		-1000		1.39332		-1000		1.08162		
SDSSJ0208-0112		32.0179583	-1.2095277		-1000		-1000		20.7624		20.9724		20.8594		-1000		-1000		0.078122	0.134242	0.196468		
SDSSJ0210+0003		32.7361249	0.05130560		-1000		-1000		21.0514		20.6295		20.0123		-1000		-1000		0.048893	0.165151	0.039003		
SDSSJ0218-0027		34.5878333	-0.4626946		-1000		-1000		20.8991		21.1211		20.4464		-1000		-1000		0.056903	0.365647	0.075054		
SDSSJ0230+0046		37.5094583	0.77966669		-1000		-1000		21.6038		21.0896		21.6239		-1000		-1000		0.184825	0.171392	0.382783		
SDSSJ0231-0728		37.90683329	-7.4817777		-1000		-1000		19.2099		-1000		18.7682		-1000		-1000		0.019164	-1000		0.0405		
SDSSJ0239-0045		39.876		-0.7514999		-1000		-1000		22.3491		21.5151		21.1938		-1000		-1000		0.426583	0.29995		0.30436		
SDSSJ0301+0020		45.3208749	0.34055559		-1000		-1000		22.9738		-1e+09		24.7125		-1000		-1000		0.823641	-1e+09		8.02265		
SDSSJ0303-0019		45.880833	-0.3202499		-1000		-1000		20.9315		21.2601		-1000		-1000		-1000		0.12737		0.216643	-1000		
SDSSJ0321+0029		50.4794583	0.4948335 		-1000		-1000		21.3548		20.8008		21.0399		-1000		-1000		0.121544	0.137712	0.188226		
SDSSJ0338+0021		54.6221248	0.3656388 		-1000		-1000		19.6338		19.3508		19.4284		-1000		-1000		0.040788	0.059343	0.065381		
SDSSJ0341-0048		55.424375	-0.8035444		-1000		-1000		20.0276		20.1058		20.0092		-1000		-1000		0.054211	0.077576	0.099814		
SDSSJ0349+0034		57.4974998	0.56763880		-1000		-1000		21.2688		21.9278		20.1974		-1000		-1000		0.134096	0.413484	0.102981		
SDSSJ0353+0104		58.4572136	1.0679614 		-1000		-1000		20.2903		19.9813		19.7263		-1000		-1000		0.068888	0.082631	0.082321		
SDSSJ0836+0054		129.1827665	0.91479340		18.7868		18.8102		18.6254		18.331		18.1094		0.004361	0.007334	0.008075	0.009514	0.010191		
SDSSJ0959+0227		149.78375	2.4520444 		-1000		24.2011		24.1788		23.6319		23.4436		-1000		0.055539	0.073188	0.06333		0.083984		
SDSSJ1000+0234		150.2145833	2.5826333 		-1000		26.3527		26.9776		29.0018		26.5409		-1000		0.331073	0.62756		7.58539		1.12801		
