#survey qsoName              ra          dec        redshift   Z            errZ         Y             errY          J             errJ          H             errH          K             errK          unW1mag   unW1err   unW1snr    unW2mag   unW2err   unW2snr    w3mpro   w3sig   w3snr   w4mpro   w4sig   w4snr  
  PSO		J000.3401+26.8358 0.3401135     26.8358814   5.75       -999.99999   -999.99999   -999.99999    -999.99999    19.284586     0.062458      -999.99999    -999.99999    -999.99999    -999.99999    16.2799   0.0257    41.7265    15.5194   0.0499    21.251     12.594   0.49    2.2     8.756    0.0     1.1    
  SDSS		J0002+2550       0.6641173     25.8430442   5.82       -999.99999   -999.99999   -999.99999    -999.99999    19.373274     0.069474      -999.99999    -999.99999    -999.99999    -999.99999    16.25     0.0261    41.0239    15.4177   0.0469    22.6804    12.416   0.42    2.6     8.683    0.0     1.2    
  SDWISE	J0008+3616     2.2142917     36.2704138   5.17       -999.99999   -999.99999   -999.99999    -999.99999    19.331099     0.063265      -999.99999    -999.99999    -999.99999    -999.99999    16.0176   0.0208    51.7021    15.4339   0.0444    23.9368    12.043   0.0     1.8     8.786    0.0     1.1    
  PSO		J002.3786+32.8702 2.3787018     32.8702618   6.1        -999.99999   -999.99999   -999.99999    -999.99999    20.994478     0.24893       -999.99999    -999.99999    -999.99999    -999.99999    17.9509   0.1056    9.7915     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0012+3632       3.136999      36.5378055   5.44       -999.99999   -999.99999   -999.99999    -999.99999    19.013725     0.048705      -999.99999    -999.99999    -999.99999    -999.99999    15.8214   0.0174    62.0132    15.2306   0.0363    29.4372    12.001   0.23    4.6     8.688    0.33    3.3    
  PSO		J004.3936+17.0862 4.3936135     17.0863045   5.8        -999.99999   -999.99999   -999.99999    -999.99999    20.559095     0.202108      -999.99999    -999.99999    -999.99999    -999.99999    17.8337   0.1032    10.0252    16.6956   0.1451    6.9949     -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  PSO		J006.1240+39.2219 6.1240417     39.2219306   6.62       -999.99999   -999.99999   -999.99999    -999.99999    21.280636     0.421661      -999.99999    -999.99999    -999.99999    -999.99999    17.3638   0.0643    16.3805    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDWISE	J0025-0145     6.3618333     -1.7590306   5.07       -999.99999   -999.99999   -999.99999    -999.99999    -999.99999    -999.99999    17.744932     0.003998      -999.99999    -999.99999    14.8509   0.0088    122.7056   14.2325   0.0184    58.52      11.395   0.22    4.9     8.514    0.0     0.9    
  PSO		J007.0273+04.9571 7.0273329     4.9571232    6.0        -999.99999   -999.99999   20.334393     0.055914      20.22697      0.073723      20.288778     0.108315      20.189209     0.105499      17.1783   0.0596    17.7258    16.6062   0.1348    7.5651     12.253   0.0     0.4     8.317    0.0     1.4    
  SDWISE	J0031+0710     7.85775       7.1769222    5.33       -999.99999   -999.99999   20.027384     0.082396      20.196571     0.146073      19.485508     0.105933      19.609877     0.123397      16.6577   0.0389    27.437     15.6829   0.0634    16.6299    12.187   0.0     -0.3    8.398    0.0     0.5    
  SDSS		J0034+3759       8.559792      37.9983333   5.63       -999.99999   -999.99999   -999.99999    -999.99999    19.702763     0.091053      -999.99999    -999.99999    -999.99999    -999.99999    16.48     0.029     36.9322    15.7302   0.0556    19.0467    12.035   0.0     1.8     9.104    0.0     -0.6   
  PSO		J011.3899+09.0325 11.3898667    9.0324889    6.42       -999.99999   -999.99999   21.037594     0.234263      -999.99999    -999.99999    20.642813     0.177309      20.760576     0.251248      17.7728   0.1043    9.9207     -99.999   -9.99     -99.999    11.98    0.0     1.2     8.784    0.0     -0.1   
  CFHQS		J0050+3445      12.527771     34.7560148   6.25       -999.99999   -999.99999   -999.99999    -999.99999    19.965752     0.120001      -999.99999    -999.99999    -999.99999    -999.99999    16.5815   0.0326    32.7892    15.7063   0.0549    19.2878    12.928   0.0     0.0     9.299    0.0     -0.2   
  SDSS		J0054-0109       13.5892499    -1.156       5.09       -999.99999   -999.99999   19.604803     0.057344      19.394524     0.06512       19.222145     0.077951      19.586315     0.115885      16.9821   0.0568    18.6232    16.1529   0.1026    10.0912    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  CFHQS		J0055+0146      13.762125     1.77175      6.01       -999.99999   -999.99999   24.123348     2.525379      23.03327      1.442814      22.38356      1.333662      21.08344      0.37365       -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDSS		J0056+2241       14.233499     22.6867111   5.49       -999.99999   -999.99999   -999.99999    -999.99999    19.986328     0.098978      -999.99999    -999.99999    -999.99999    -999.99999    16.9356   0.0477    22.2702    15.9954   0.0783    13.3717    12.185   0.0     1.0     9.155    0.0     -0.2   
  SDSS		J0100+2802       15.0542635    28.040532    6.33       -999.99999   -999.99999   -999.99999    -999.99999    17.59903      0.011513      17.482088     0.017596      -999.99999    -999.99999    14.4456   0.0063    171.272    13.6446   0.0106    102.4227   11.716   0.21    5.1     8.98     0.45    2.4    
  SDUV		J0108+0711       17.0274999    7.1890556    5.53       -999.99999   -999.99999   19.959219     0.070246      19.820906     0.08754       19.547499     0.088968      19.55984      0.0927        16.3387   0.0309    34.6805    15.4902   0.0543    19.5076    12.019   0.32    3.4     8.569    0.4     2.7    
  SDSS		J0108-0100       17.1248333    -1.0043333   5.11       -999.99999   -999.99999   20.913004     0.190875      21.927698     0.621261      20.955866     0.352807      21.006262     0.431708      -99.999   -9.99     -99.999    -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
  SDUV		J0113+0559       18.4739583    5.9975278    5.0        -999.99999   -999.99999   20.335012     0.094054      20.20652      0.11823       19.765018     0.10832       19.62098      0.092362      16.6853   0.0413    25.8086    16.1318   0.0938    11.0841    12.488   0.5     2.2     8.377    0.0     1.0    
  SDSS		J0114+3238       18.729625     32.6378694   5.22       -999.99999   -999.99999   -999.99999    -999.99999    19.934635     0.095684      -999.99999    -999.99999    -999.99999    -999.99999    16.8459   0.0409    26.0447    16.1806   0.0847    12.3262    12.487   0.0     1.0     9.014    0.0     0.8    
  SDWISE	J0115-0253     18.9427916    -2.8867333   5.07       19.88182     0.075765     19.906525     0.085058      19.621307     0.074633      19.528025     0.086688      19.502531     0.086432      16.367    0.0299    35.862     15.8333   0.0703    14.9617    11.76    0.0     1.7     8.322    0.0     1.4    
  SDSS		J0120+2147       20.224708     21.7850555   5.42       -999.99999   -999.99999   -999.99999    -999.99999    20.085098     0.100925      -999.99999    -999.99999    -999.99999    -999.99999    16.5474   0.0329    32.5121    15.9176   0.0716    14.6617    12.466   0.0     0.6     9.267    0.0     -0.1   
  SDSS		J0129-0028       22.281        -0.4793055   5.01       -999.99999   -999.99999   21.069384     0.199203      21.301142     0.369346      21.39004      0.352881      -999.99999    -999.99999    18.1338   0.1354    7.5267     -99.999   -9.99     -99.999    -9.99    -9.99   -9.9    -9.99    -9.99   -9.9   
